6 

>cr 
Type 'HE' for help

>up*
Upload all
--------- upload all start ---------
Reader: UPstream1  Site: Racon
    Date        Time      Duration  Type    Tag ID    Count   Gap
E 2017-08-23 17:08:52.50 datalogger file created
E 2018-02-27 11:02:05.59 supply power ok 12.7V
E 2018-02-27 11:02:05.59 database file opened
E 2018-02-27 11:02:05.59 starting reader after power up
D 2018-02-27 11:05:49.19 00:00:00.21 HA 3D6.00184CB8C3    3  2255
D 2018-02-27 11:06:01.87 00:00:00.31 HA 3D6.00184CB8C3    4   123
D 2018-02-27 11:06:10.83 00:00:00.41 HA 3D6.00184CB8C3    5    85
D 2018-02-27 11:06:26.23 00:00:00.20 HA 3D6.00184CB8C3    3   148
E 2018-02-27 11:10:58.15 supply power ok 12.6V
E 2018-02-27 11:10:58.15 database file opened
E 2018-02-27 11:10:58.15 starting reader after power up
D 2018-02-27 11:11:35.74 00:00:00.00 HA 3D6.00184CBA45    1   415
D 2018-02-27 11:11:35.94 00:00:00.20 HA 3D6.00184CBA45    3     1
D 2018-02-27 11:11:36.44 00:00:00.00 HA 3D6.00184CBA45    1     2
D 2018-02-27 11:11:36.65 00:00:00.00 HA 3D6.00184CBA45    1     1
D 2018-02-27 11:11:43.80 00:00:01.01 HA 3D6.00184CB8C3   11    70
D 2018-02-27 11:11:57.02 00:00:01.01 HA 3D6.00184CB8C3   11   120
D 2018-02-27 11:12:06.09 00:00:00.00 HA 3D6.00184CBA45    1    79
D 2018-02-27 11:12:06.29 00:00:00.10 HA 3D6.00184CBA45    2     1
D 2018-02-27 11:12:11.22 00:00:00.82 HA 3D6.00184CB8C3    9    47
D 2018-02-27 11:12:13.15 00:00:00.00 HA 3D6.00184CB8C3    1    10
D 2018-02-27 11:12:25.22 00:00:00.00 HA 3D6.00184CBA45    1   119
D 2018-02-27 11:12:35.18 00:00:00.00 HA 3D6.00184CBA45    1    98
D 2018-02-27 11:12:42.43 00:00:00.00 HA 3D6.00184CBA45    1    71
D 2018-02-27 11:12:42.63 00:00:00.51 HA 3D6.00184CBA45    6     1
E 2018-02-27 11:22:16.16 supply power ok 12.6V
E 2018-02-27 11:22:16.16 database file opened
E 2018-02-27 11:22:16.16 starting reader after power up
D 2018-02-27 11:23:16.08 00:00:00.00 HA 3D6.00184CBA45    1   637
D 2018-02-27 11:23:20.52 00:00:00.20 HA 3D6.00184CB8C3    3    43
D 2018-02-27 11:23:20.92 00:00:00.00 HA 3D6.00184CB8C3    1     1
D 2018-02-27 11:23:21.13 00:00:00.00 HA 3D6.00184CB8C3    1     1
D 2018-02-27 11:23:21.64 00:00:00.30 HA 3D6.00184CB8C3    4     4
D 2018-02-27 11:23:22.24 00:00:00.00 HA 3D6.00184CB8C3    1     2
D 2018-02-27 11:23:23.64 00:00:00.00 HA 3D6.00184CB8C3    1     3
D 2018-02-27 11:23:29.89 00:00:00.11 HA 3D6.00184CBA45    2    71
D 2018-02-27 11:23:30.20 00:00:00.11 HA 3D6.00184CBA45    2     1
D 2018-02-27 11:23:30.51 00:00:00.20 HA 3D6.00184CBA45    3     1
B 2022-00-?5 m6:50:i0.04 Bad typecode: 167
E 2018-02-27 11:26:49.02 supply power ok 12.6V
E 2018-02-27 11:26:49.02 database file opened
E 2018-02-27 11:26:49.02 starting reader after power up
D 2018-02-27 11:27:45.93 00:00:00.00 HA 3D6.00184CBA45    1   607
D 2018-02-27 11:27:46.24 00:00:00.00 HA 3D6.00184CBA45    1     2
D 2018-02-27 11:27:46.44 00:00:00.10 HA 3D6.00184CBA45    2     1
D 2018-02-27 11:27:46.74 00:00:00.10 HA 3D6.00184CBA45    2     1
D 2018-02-27 11:27:47.05 00:00:00.00 HA 3D6.00184CBA45    1     1
D 2018-02-27 11:27:47.45 00:00:00.00 HA 3D6.00184CBA45    1     3
D 2018-02-27 11:27:47.75 00:00:00.00 HA 3D6.00184CBA45    1     2
D 2018-02-27 11:27:47.95 00:00:00.00 HA 3D6.00184CBA45    1     1
D 2018-02-27 11:27:48.16 00:00:00.00 HA 3D6.00184CBA45    1     1
D 2018-02-27 11:27:48.36 00:00:00.10 HA 3D6.00184CBA45    2     1
