up*
Upload all
--------- upload all start ---------
Reader: Noname  Site: AA
    Date        Time      Duration  Type    Tag ID    Count   Gap
E 2018-03-19 18:52:07.25 datalogger file created
E 2018-05-18 06:48:52.69 supply power ok 12.9V
E 2018-05-18 06:48:52.69 database file opened
E 2018-05-18 06:48:52.69 starting reader after power up
E 2018-05-18 06:51:19.17 parameter change: duty cycle pause 1000ms
E 2018-05-18 06:51:38.65 Display format changed to: Hex
E 2018-05-18 06:51:39.27 check DIP switch 1 on CTL board
D 2018-05-18 13:48:33.57 00:00:09.30 HA 3D6.00184CBA0A   10 25693
D 2018-05-18 13:48:47.02 00:00:03.10 HA 3D6.00184CBA0A    4     3
D 2018-05-18 13:49:30.42 00:00:02.06 HA 3D6.00184CBA0A    3    38
D 2018-05-18 13:49:37.65 00:00:08.27 HA 3D6.00184CBA0A    9     4
D 2018-05-18 13:49:49.03 00:00:00.00 HA 3D6.00184CBA0A    1     2
D 2018-05-18 13:49:51.09 00:00:03.10 HA 3D6.00184CBA0A    4     1
D 2018-05-18 13:50:07.63 00:00:09.30 HA 3D6.00184CBA0A   10    12
D 2018-05-18 13:50:19.01 00:00:01.03 HA 3D6.00184CBA0A    2     1
D 2018-05-18 13:50:25.21 00:00:07.24 HA 3D6.00184CBA0A    8     4
D 2018-05-18 13:50:35.55 00:00:02.06 HA 3D6.00184CBA0A    3     2
D 2018-05-19 06:09:00.41 00:00:02.07 HA 3D6.00184CBA0A    3 56818
D 2018-05-19 06:09:04.55 00:00:19.65 HA 3D6.00184CBA0A   20     1
D 2018-05-19 06:45:36.91 00:00:00.00 HA 3D6.00184CBA0A    1  2102
D 2018-05-19 13:08:35.18 00:00:01.04 HA 3D6.00184CBA0A    2 22240
D 2018-05-19 13:08:39.32 00:00:03.10 HA 3D6.00184CBA0A    4     2
D 2018-05-19 13:09:18.58 00:00:10.34 HA 3D6.00184CBA0A   11    34
D 2018-05-19 13:09:57.86 00:00:01.04 HA 3D6.00184CBA0A    2    27
D 2018-05-20 03:05:04.83 00:00:31.02 HA 3D6.00184CBA0A   31 48497
D 2018-05-20 03:06:02.71 00:00:00.00 HA 3D6.00184CBA0A    1    25
D 2018-05-20 07:25:22.02 00:00:00.00 HA 3D6.00184CBA0A    1 15059
D 2018-05-20 12:48:13.61 00:00:01.04 HA 3D6.00184CBA0A    2 18749
D 2018-05-20 12:48:24.98 00:00:00.00 HA 3D6.00184CBA0A    1     9
D 2018-05-20 12:50:46.53 00:00:07.23 HA 3D6.00184CBA0A    8   136
D 2018-05-20 12:51:10.30 00:00:00.00 HA 3D6.00184CBA0A    1    15
D 2018-05-20 13:03:17.63 00:00:02.08 HA 3D6.00184CBA0A    3   703
D 2018-05-20 13:05:22.65 00:00:01.03 HA 3D6.00184CBA0A    2   118
D 2018-05-20 13:08:03.83 00:00:00.00 HA 3D6.00184CBA0A    1   154
D 2018-05-20 13:08:06.93 00:00:00.00 HA 3D6.00184CBA0A    1     2
D 2018-05-20 13:08:20.36 00:00:00.00 HA 3D6.00184CBA0A    1    12
D 2018-05-20 13:10:22.28 00:00:00.00 HA 3D6.00184CBA0A    1   117
D 2018-05-20 16:59:53.20 00:00:04.13 HA 3D6.00184CBA0A    5 13328
D 2018-05-20 17:00:01.47 00:00:01.03 HA 3D6.00184CBA0A    2     3
D 2018-05-20 17:39:40.81 00:00:03.11 HA 3D6.00184CBA0A    4  2301
D 2018-05-20 17:39:47.03 00:00:00.00 HA 3D6.00184CBA0A    1     2
D 2018-05-21 08:17:11.45 00:00:02.07 HA 3D6.00184CBA0A    3 50954
E 2018-05-21 11:44:23.37 upload 1 complete
D 2018-05-21 11:45:12.91 00:00:01.02 HA 3D6.1D592D6039    2 12078
D 2018-05-21 11:45:41.83 00:00:02.08 HA 3D6.1D592D6039    3    26
D 2018-05-21 11:46:06.64 00:00:04.13 HA 3D6.1D592D6039    5    21
D 2018-05-21 12:44:03.19 00:00:04.12 HA 3D6.00184CBA0A    5  3360
E 2018-05-22 06:55:05.49 supply power ok 12.6V
E 2018-05-22 06:55:05.49 database file opened
E 2018-05-22 06:55:05.49 starting reader after power up
E 2018-05-22 06:55:32.00 check DIP switch 1 on CTL board
E 2018-05-25 08:30:48.57 upload 2 complete
E 2018-05-31 11:06:14.85 supply power ok 13.0V
E 2018-05-31 11:06:14.85 database file opened
E 2018-05-31 11:06:14.85 starting reader after power up
E 2018-05-31 11:06:31.00 check DIP switch 1 on CTL board
D 2018-05-31 11:07:36.09 00:00:00.00 HA 3D6.1D592D606F    1    81
