up
Upload #4
Reader: Noname  Site: AA
--------- upload 4 start ---------
    Date        Time      Duration  Type    Tag ID    Count   Gap
E 2018-06-13 11:29:23.38 upload 3 complete
E 2018-06-13 11:29:47.60 Display format changed to: Hex
E 2018-06-13 11:31:28.50 Display format changed to: BiHex
E 2018-06-14 09:53:44.72 supply power ok 13.0V
E 2018-06-14 09:53:44.72 database file opened
E 2018-06-14 09:53:44.72 starting reader after power up
E 2018-06-14 09:54:05.00 check DIP switch 1 on CTL board
E 2018-06-14 10:28:26.33 supply power ok 13.0V
E 2018-06-14 10:28:26.33 database file opened
E 2018-06-14 10:28:26.33 starting reader after power up
E 2018-06-14 10:28:58.00 check DIP switch 1 on CTL board
D 2018-06-14 10:29:36.25 00:00:00.00 HA 3D6.1D592D6039    1    71
D 2018-06-14 10:29:38.31 00:00:00.00 HA 3D6.1D592D6039    1     1
D 2018-06-14 10:29:40.39 00:00:01.02 HA 3D6.1D592D6039    2     1
D 2018-06-14 10:30:06.22 00:00:00.00 HA 3D6.1D592D6039    1    23
D 2018-06-14 10:30:21.71 00:00:00.00 HA 3D6.1D592D6039    1    14
D 2018-06-14 10:30:26.89 00:00:02.06 HA 3D6.1D592D6039    3     4
D 2018-06-14 10:31:00.98 00:00:01.04 HA 3D6.1D592D6039    2    30
D 2018-06-14 10:31:35.09 00:00:01.03 HA 3D6.1D592D6039    2    31
D 2018-06-14 10:35:37.87 00:00:00.00 HA 3D6.1D592D6039    1   233
D 2018-06-14 10:35:40.97 00:00:00.00 HA 3D6.1D592D6039    1     2
D 2018-06-14 10:46:43.24 00:00:00.00 HA 3D6.1D592D606F    1   640
D 2018-06-14 10:47:19.41 00:00:02.06 HA 3D6.1D592D606F    3    34
D 2018-06-14 10:47:34.90 00:00:00.00 HA 3D6.1D592D606F    1    12
D 2018-06-14 10:47:54.54 00:00:00.00 HA 3D6.1D592D606F    1    18
D 2018-06-14 10:48:29.66 00:00:00.00 HA 3D6.1D592D606F    1    33
D 2018-06-16 18:14:08.46 00:00:00.00 HA 3D6.1D592D606F    1     .
D 2018-06-16 23:19:09.46 00:00:00.00 HA 3D6.00184CB888    1 17713
D 2018-06-16 23:19:42.53 00:00:00.00 HA 3D6.00184CB888    1    31
D 2018-06-17 03:10:24.48 00:00:00.00 HA 3D6.1D592D606F    1 13397
D 2018-06-17 15:26:23.75 00:00:00.00 HA 3D6.1D592D606F    1 42742
D 2018-06-17 15:31:16.15 00:00:00.00 HA 3D6.1D592D606F    1   282
D 2018-06-17 15:31:21.32 00:00:00.00 HA 3D6.1D592D606F    1     4
D 2018-06-17 15:36:17.83 00:00:00.00 HA 3D6.1D592D606F    1   286
D 2018-06-17 15:46:23.27 00:00:00.00 HA 3D6.1D592D6078    1   585
D 2018-06-17 15:52:42.46 00:00:00.00 HA 3D6.1D592D6078    1   366
D 2018-06-17 15:52:46.60 00:00:01.02 HA 3D6.1D592D6078    2     3
D 2018-06-17 15:52:50.72 00:00:02.08 HA 3D6.1D592D6078    3     2
D 2018-06-17 15:52:59.00 00:00:00.00 HA 3D6.1D592D6078    1     5
D 2018-06-17 15:53:01.07 00:00:00.00 HA 3D6.1D592D6078    1     1
D 2018-06-17 15:53:22.76 00:00:00.00 HA 3D6.1D592D6078    1    20
D 2018-06-17 15:53:57.90 00:00:00.00 HA 3D6.1D592D6078    1    33
D 2018-06-17 15:56:50.43 00:00:00.00 HA 3D6.1D592D606F    1   166
D 2018-06-17 16:01:22.16 00:00:00.00 HA 3D6.1D592D6078    1   262
D 2018-06-17 16:01:43.85 00:00:03.10 HA 3D6.1D592D6078    4    20
D 2018-06-17 16:02:24.17 00:00:03.10 HA 3D6.1D592D6078    4    35
D 2018-06-17 16:02:29.33 00:00:00.00 HA 3D6.1D592D6078    1     1
D 2018-06-17 16:02:35.53 00:00:00.00 HA 3D6.1D592D6078    1     5
D 2018-06-17 16:02:39.67 00:00:00.00 HA 3D6.1D592D6078    1     3
D 2018-06-17 16:05:00.19 00:00:00.00 HA 3D6.1D592D6078    1   135
D 2018-06-17 16:11:27.63 00:00:01.03 HA 3D6.1D592D6078    2   374
D 2018-06-17 16:11:47.26 00:01:12.39 HA 3D6.1D592D6078   71    17
D 2018-06-17 16:14:54.33 00:00:00.00 HA 3D6.1D592D6078    1   110
D 2018-06-17 16:16:43.86 00:00:00.00 HA 3D6.1D592D6078    1   105
D 2018-06-17 16:17:09.69 00:00:04.13 HA 3D6.1D592D6078    5    24
D 2018-06-17 16:17:16.92 00:00:35.16 HA 3D6.1D592D6078   35     2
D 2018-06-17 16:19:06.47 00:00:01.04 HA 3D6.1D592D6078    2    71
D 2018-06-17 16:19:09.57 00:00:06.21 HA 3D6.1D592D6078    7     1
D 2018-06-17 16:19:19.91 00:00:01.04 HA 3D6.1D592D6078    2     3
D 2018-06-17 16:20:02.28 00:00:00.00 HA 3D6.1D592D6078    1    39
D 2018-06-17 16:20:04.35 00:00:00.00 HA 3D6.1D592D6078    1     1
D 2018-06-17 16:29:23.31 00:00:03.10 HA 3D6.1D592D606F    4   540
D 2018-06-17 17:15:27.03 00:00:00.00 HA 3D6.1D592D6078    1  2671
D 2018-06-17 17:15:30.13 00:00:00.00 HA 3D6.1D592D6078    1     2
D 2018-06-17 17:20:54.54 00:00:00.00 HA 3D6.1D592D6078    1   313
D 2018-06-17 17:21:50.34 00:00:01.03 HA 3D6.1D592D6078    2    53
D 2018-06-17 17:21:56.53 00:00:00.00 HA 3D6.1D592D6078    1     4
D 2018-06-17 17:55:44.63 00:00:00.00 HA 3D6.1D592D606F    1  1962
D 2018-06-17 17:57:41.40 00:00:00.00 HA 3D6.1D592D606F    1   112
D 2018-06-17 17:59:21.62 00:00:00.00 HA 3D6.1D592D606F    1    96
D 2018-06-17 18:00:23.62 00:00:00.00 HA 3D6.1D592D606F    1    59
D 2018-06-17 18:01:05.97 00:00:01.04 HA 3D6.1D592D606F    2    40
D 2018-06-17 18:01:51.44 00:00:00.00 HA 3D6.1D592D606F    1    42
D 2018-06-17 18:02:22.43 00:00:00.00 HA 3D6.1D592D606F    1    29
D 2018-06-17 18:09:15.74 00:00:00.00 HA 3D6.1D592D606F    1   399
