up
Upload #10
Reader: Noname  Site: AA
--------- upload 10 start ---------
    Date        Time      Duration  Type    Tag ID    Count   Gap
E 2019-05-28 07:11:31.32 upload 9 complete
D 2019-05-28 07:19:54.86 00:00:00.00 HA 3D6.00184CB9B6    1   607
D 2019-05-28 07:20:08.30 00:00:01.03 HA 3D6.00184CB9B6    2    12
E 2019-05-28 08:24:56.23 supply power ok 12.9V
E 2019-05-28 08:24:56.23 database file opened
E 2019-05-28 08:24:56.23 starting reader after power up
E 2019-05-28 08:25:00.00 check DIP switch 1 on CTL board
D 2019-05-29 03:40:48.13 00:00:00.00 HA 3D6.00184CE0FE    1     .
D 2019-05-29 03:41:25.33 00:00:00.00 HA 3D6.00184CE0FE    1    35
D 2019-05-29 04:41:39.28 00:00:00.00 HA 3D6.00184CE0FE    1  3497
D 2019-05-29 07:47:51.75 00:00:00.00 HA 3D6.00184CB9F5    1 10813
D 2019-05-30 08:20:44.05 00:00:00.00 HA 3D6.00184CB998    1     .
D 2019-05-30 13:38:02.85 00:00:00.00 HA 3D6.00184CE0C1    1 18427
D 2019-05-31 04:54:18.79 00:00:00.00 HA 3D6.00184CBB1C    1 53211
D 2019-05-31 07:45:44.81 00:00:00.00 HA 3D6.00184CB997    1  9955
D 2019-05-31 14:39:57.15 00:00:00.00 HA 3D6.00184CB9F5    1 24054
D 2019-06-01 07:12:03.13 00:00:00.00 HA 3D6.00184CB873    1 57615
D 2019-06-02 00:27:38.69 00:00:00.00 HA 3D6.00184CE0C1    1 60141
D 2019-06-02 17:24:48.80 00:00:00.00 HA 3D6.00184CE0D4    1 59071
E 2019-06-04 08:42:06.94 supply power ok 12.7V
E 2019-06-04 08:42:06.94 database file opened
E 2019-06-04 08:42:06.94 starting reader after power up
E 2019-06-04 08:42:19.00 check DIP switch 1 on CTL board
E 2019-06-04 08:47:04.44 supply power ok 12.6V
E 2019-06-04 08:47:04.44 database file opened
E 2019-06-04 08:47:04.44 starting reader after power up
E 2019-06-04 08:47:31.00 check DIP switch 1 on CTL board
E 2019-06-04 09:52:56.47 supply power ok 12.7V
E 2019-06-04 09:52:56.47 database file opened
E 2019-06-04 09:52:56.47 starting reader after power up
E 2019-06-04 09:53:22.00 check DIP switch 1 on CTL board
D 2019-06-04 09:53:21.98 00:14:08.93 HA 3D6.00184CB99E  822    28
D 2019-06-04 10:07:33.97 02:01:22.61 HA 3D6.00184CB99E 7045     1
D 2019-06-04 12:08:58.66 00:01:59.94 HA 3D6.00184CB99E  117     1
D 2019-06-04 12:11:00.67 00:13:26.53 HA 3D6.00184CB99E  781     1
D 2019-06-04 12:24:29.27 00:13:54.44 HA 3D6.00184CB99E  808     1
D 2019-06-04 12:38:26.82 00:25:45.85 HA 3D6.00184CB99E 1496     2
D 2019-06-04 13:04:15.77 00:00:01.04 HA 3D6.00184CB99E    2     2
D 2019-06-04 13:04:19.87 00:00:06.25 HA 3D6.00184CB99E    8     1
D 2019-06-04 13:04:29.22 00:03:56.79 HA 3D6.00184CB99E  230     2
D 2019-06-04 13:08:29.11 01:45:18.86 HA 3D6.00184CB99E 6112     2
