up
Upload #2
Reader: Noname  Site: AA
--------- upload 2 start ---------
    Date        Time      Duration  Type    Tag ID    Count   Gap
E 2019-03-15 12:58:07.41 upload 1 complete
D 2019-03-17 07:10:57.44 00:00:00.00 HA 3D6.00184CBAE6    1     .
D 2019-03-19 04:42:37.02 00:00:00.00 HA 3D6.00184CE0AB    1     .
D 2019-03-21 05:36:18.58 00:00:00.00 HA 3D6.00184CBB1C    1     .
E 2019-03-21 09:40:40.58 supply power ok 12.8V
E 2019-03-21 09:40:40.58 database file opened
E 2019-03-21 09:40:40.58 starting reader after power up
E 2019-03-21 09:41:05.00 check DIP switch 1 on CTL board
D 2019-03-21 09:41:21.55 00:00:07.24 HA 3D6.00184CB9B6    8    42
D 2019-03-21 09:41:32.92 00:00:02.07 HA 3D6.00184CB9B6    3     3
D 2019-03-21 09:41:43.27 00:00:01.02 HA 3D6.00184CB9B6    2     7
D 2019-03-21 09:49:01.33 00:00:00.00 HA 3D6.00184CBA35    1   422
D 2019-03-21 09:49:04.43 00:00:00.00 HA 3D6.00184CBA35    1     2
D 2019-03-21 09:50:36.40 00:00:00.00 HA 3D6.00184CB910    1    88
D 2019-03-21 09:50:50.86 00:00:00.00 HA 3D6.00184CB910    1    13
D 2019-03-21 09:51:42.52 00:00:00.00 HA 3D6.00184CE0C1    1    49
D 2019-03-21 09:55:55.66 00:00:02.06 HA 3D6.00184CE0AB    3   244
D 2019-03-21 09:56:11.16 00:00:00.00 HA 3D6.00184CE0AB    1    12
D 2019-03-21 10:00:41.86 00:00:01.03 HA 3D6.00184CB910    2   261
D 2019-03-21 10:00:46.00 00:00:00.00 HA 3D6.00184CB910    1     2
D 2019-03-21 10:00:58.41 00:00:00.00 HA 3D6.00184CB910    1    11
D 2019-03-21 10:01:12.87 00:00:00.00 HA 3D6.00184CB910    1    13
D 2019-03-21 10:01:15.93 00:00:25.90 HA 3D6.00184CB910   27     1
D 2019-03-21 10:01:43.89 00:00:27.92 HA 3D6.00184CB910   28     1
D 2019-03-21 10:02:24.22 00:00:02.06 HA 3D6.00184CB910    3    11
D 2019-03-21 10:04:56.11 00:00:09.30 HA 3D6.00184CBAE6   10   144
D 2019-03-21 10:05:15.75 00:00:04.12 HA 3D6.00184CBAE6    5     9
D 2019-03-21 10:05:24.02 00:00:03.10 HA 3D6.00184CE0AB    4     3
D 2019-03-21 10:05:29.19 00:00:01.03 HA 3D6.00184CBAE6    2     1
D 2019-03-21 10:05:35.39 00:00:01.03 HA 3D6.00184CE0AB    2     4
D 2019-03-21 10:07:03.22 00:00:00.00 HA 3D6.00184CBA0E    1    83
D 2019-03-21 10:17:28.30 00:00:00.00 HA 3D6.00184CBA0E    1   604
D 2019-03-21 10:23:26.82 00:00:01.04 HA 3D6.00184CBA03    2   346
D 2019-03-21 10:35:38.34 00:00:00.00 HA 3D6.00184CBA03    1   706
D 2019-03-21 10:48:33.22 00:00:00.00 HA 3D6.00184CE0AB    1   749
D 2019-03-21 10:56:11.94 00:00:00.00 HA 3D6.00184CE0AB    1   443
D 2019-03-21 11:00:07.51 00:00:00.00 HA 3D6.00184CBB1C    1   227
D 2019-03-21 11:07:37.98 00:00:01.05 HA 3D6.00184CBA03    2   435
D 2019-03-21 11:07:46.25 00:00:02.08 HA 3D6.00184CBA03    3     6
D 2019-03-21 11:08:01.75 00:00:04.14 HA 3D6.00184CBA03    5    12
D 2019-03-21 11:13:16.89 00:00:01.02 HA 3D6.00184CBA03    2   300
D 2019-03-21 11:13:21.02 00:00:00.00 HA 3D6.00184CBA03    1     2
D 2019-03-21 11:13:30.32 00:00:01.04 HA 3D6.00184CBA03    2     8
D 2019-03-21 11:14:37.48 00:00:00.00 HA 3D6.00184CBA0E    1    63
D 2019-03-21 11:14:39.55 00:00:00.00 HA 3D6.00184CBA0E    1     1
D 2019-03-21 11:21:31.79 00:00:00.00 HA 3D6.00184CE0AB    1   398
D 2019-03-21 11:21:46.26 00:00:01.04 HA 3D6.00184CE0AB    2    13
D 2019-03-21 11:21:51.42 00:00:00.00 HA 3D6.00184CE0AB    1     3
D 2019-03-21 11:22:17.26 00:00:00.00 HA 3D6.00184CE0AB    1    24
D 2019-03-21 11:22:20.36 00:00:05.17 HA 3D6.00184CE0AB    6     2
D 2019-03-21 11:22:28.63 00:00:01.03 HA 3D6.00184CE0AB    2     2
D 2019-03-21 11:22:41.03 00:00:00.00 HA 3D6.00184CBA03    1    10
D 2019-03-21 11:22:47.23 00:00:00.00 HA 3D6.00184CE0AB    1     5
D 2019-03-21 11:22:50.33 00:00:00.00 HA 3D6.00184CE0AB    1     2
D 2019-03-21 11:23:53.36 00:00:00.00 HA 3D6.00184CE0AB    1    60
D 2019-03-21 11:33:00.94 00:00:02.07 HA 3D6.00184CBA35    3   529
D 2019-03-21 11:33:21.62 00:00:02.06 HA 3D6.00184CBA35    3    17
D 2019-03-21 12:32:00.60 00:00:00.00 HA 3D6.00184CE0AB    1  3403
D 2019-03-21 12:32:04.73 00:00:05.17 HA 3D6.00184CE0AB    6     3
D 2019-03-21 12:32:16.11 00:00:03.10 HA 3D6.00184CE0AB    4     5
D 2019-03-21 12:32:22.31 00:00:04.14 HA 3D6.00184CE0C1    5     2
D 2019-03-21 12:32:46.08 00:00:03.11 HA 3D6.00184CE0C1    4    18
D 2019-03-21 12:37:59.13 00:00:00.00 HA 3D6.00184CE0C1    1   299
D 2019-03-21 12:40:13.45 00:00:00.00 HA 3D6.00184CBA0E    1   129
D 2019-03-21 13:23:56.68 00:00:00.00 HA 3D6.00184CBA4B    1  2538
D 2019-03-21 13:23:59.77 00:00:00.00 HA 3D6.00184CBA4B    1     2
D 2019-03-21 13:31:45.74 00:00:01.03 HA 3D6.00184CBB1C    2   450
D 2019-03-21 13:32:02.27 00:00:00.00 HA 3D6.00184CBB1C    1    14
D 2019-03-21 13:32:04.34 00:00:00.00 HA 3D6.00184CBB1C    1     1
D 2019-03-21 13:32:10.54 00:00:01.03 HA 3D6.00184CBB1C    2     5
D 2019-03-21 13:40:59.53 00:00:04.13 HA 3D6.00184CE0AB    5   510
D 2019-03-21 13:41:16.06 00:00:00.00 HA 3D6.00184CE0AB    1    11
D 2019-03-21 14:30:16.46 00:00:01.04 HA 3D6.00184CBA07    2  2845
D 2019-03-21 14:30:20.60 00:00:00.00 HA 3D6.00184CBA07    1     2
D 2019-03-21 14:40:50.84 00:00:02.06 HA 3D6.00184CBA07    3   609
D 2019-03-21 14:40:56.01 00:00:02.06 HA 3D6.00184CBA07    3     2
D 2019-03-21 14:41:01.17 00:00:00.00 HA 3D6.00184CBA07    1     2
D 2019-03-21 14:41:04.27 00:00:01.04 HA 3D6.00184CBA07    2     2
D 2019-03-21 14:41:07.37 00:00:00.00 HA 3D6.00184CBA07    1     1
D 2019-03-21 14:41:11.51 00:00:11.37 HA 3D6.00184CBA07   12     3
D 2019-03-21 14:41:25.98 00:00:00.00 HA 3D6.00184CBA07    1     2
D 2019-03-21 14:41:31.15 00:00:05.18 HA 3D6.00184CBA07    6     4
D 2019-03-21 14:41:40.46 00:00:00.00 HA 3D6.00184CBA07    1     3
D 2019-03-21 14:41:42.53 00:00:01.03 HA 3D6.00184CBA07    2     1
D 2019-03-21 14:41:46.66 00:00:05.17 HA 3D6.00184CBA07    6     2
D 2019-03-21 14:41:58.04 00:00:00.00 HA 3D6.00184CBA07    1     5
D 2019-03-21 14:42:05.26 00:00:00.00 HA 3D6.00184CBA07    1     6
D 2019-03-21 14:42:12.50 00:00:04.13 HA 3D6.00184CBA07    5     6
D 2019-03-21 14:42:18.70 00:00:04.14 HA 3D6.00184CBA07    5     1
D 2019-03-21 14:42:25.90 00:00:00.00 HA 3D6.00184CBA07    1     1
D 2019-03-21 14:42:29.05 00:00:09.30 HA 3D6.00184CBA07   10     3
D 2019-03-21 14:42:43.51 00:00:00.00 HA 3D6.00184CBA07    1     4
D 2019-03-21 14:42:48.69 00:00:01.02 HA 3D6.00184CBA07    2     4
D 2019-03-21 14:53:44.77 00:00:04.14 HA 3D6.00184CBA07    5   633
D 2019-03-21 14:56:02.18 00:00:01.04 HA 3D6.00184CBA07    2   128
D 2019-03-21 14:56:16.65 00:00:01.03 HA 3D6.00184CBA07    2    12
D 2019-03-21 15:49:23.99 00:00:00.00 HA 3D6.00184CE0C1    1  3083
D 2019-03-21 15:49:33.30 00:00:00.00 HA 3D6.00184CE0C1    1     8
D 2019-03-21 15:56:54.46 00:00:02.08 HA 3D6.00184CE0C1    3   426
D 2019-03-21 15:57:07.90 00:00:00.00 HA 3D6.00184CE0C1    1    10
D 2019-03-21 15:57:10.96 00:00:00.05 HA 3D6.00184CE0C1    2     1
D 2019-03-21 16:03:22.95 00:00:00.00 HA 3D6.00184CE0C1    1   359
D 2019-03-21 16:03:33.28 00:00:00.00 HA 3D6.00184CE0C1    1     9
D 2019-03-21 16:03:44.65 00:00:00.00 HA 3D6.00184CE0C1    1    10
D 2019-03-21 16:17:53.91 00:00:01.02 HA 3D6.00184CE0C1    2   821
D 2019-03-21 16:18:19.73 00:00:15.52 HA 3D6.00184CE0C1   16    23
D 2019-03-21 16:25:15.09 00:00:00.00 HA 3D6.00184CBA35    1   386
D 2019-03-21 16:29:20.98 00:00:00.00 HA 3D6.00184CE0AB    1   237
D 2019-03-21 16:29:47.85 00:00:00.00 HA 3D6.00184CE0AB    1    25
D 2019-03-21 16:29:56.12 00:00:00.00 HA 3D6.00184CE0AB    1     7
D 2019-03-21 16:29:58.19 00:00:02.07 HA 3D6.00184CE0AB    3     1
D 2019-03-21 16:30:05.42 00:00:02.08 HA 3D6.00184CE0AB    3     4
D 2019-03-21 16:30:12.66 00:00:01.04 HA 3D6.00184CE0AB    2     4
D 2019-03-21 16:30:15.76 00:00:04.14 HA 3D6.00184CE0AB    5     1
D 2019-03-21 16:30:23.00 00:00:05.18 HA 3D6.00184CE0AB    6     2
D 2019-03-21 16:30:30.24 00:00:06.20 HA 3D6.00184CE0AB    7     1
D 2019-03-21 16:30:38.52 00:00:21.70 HA 3D6.00184CE0AB   22     1
D 2019-03-21 16:31:04.36 00:00:02.07 HA 3D6.00184CE0AB    3     3
D 2019-03-21 16:57:22.06 00:00:00.00 HA 3D6.00184CBA0E    1  1524
D 2019-03-21 17:24:55.13 00:00:00.00 HA 3D6.00184CE0A8    1  1599
D 2019-03-21 17:28:36.22 00:00:00.00 HA 3D6.00184CE0A8    1   213
D 2019-03-21 18:21:40.45 00:00:00.00 HA 3D6.00184CBAC6    1  3081
D 2019-03-21 18:50:18.62 00:00:04.14 HA 3D6.00184CBAC6    5  1662
D 2019-03-21 18:50:27.92 00:00:02.09 HA 3D6.00184CBAC6    3     4
D 2019-03-21 18:59:43.77 00:00:00.00 HA 3D6.00184CBA0E    1   535
D 2019-03-21 19:04:41.33 00:00:02.07 HA 3D6.00184CBA0E    3   287
