up
Upload #3
Reader: UPstream1  Site: Racon
--------- upload 3 start ---------
    Date        Time      Duration  Type    Tag ID    Count   Gap
E 2019-07-22 05:42:26.50 upload 2 complete
E 2019-07-22 05:42:27.11 check DIP switch 1 on CTL board
D 2019-07-22 05:48:51.10 00:00:02.08 HA 3D6.1D592D60A3    3   417
D 2019-07-22 05:48:58.34 00:00:02.06 HA 3D6.1D592D60A3    3     4
D 2019-07-22 05:49:05.58 00:00:00.00 HA 3D6.1D592D60A3    1     4
D 2019-07-22 05:49:07.64 00:00:01.04 HA 3D6.1D592D60A3    2     1
D 2019-07-22 06:44:19.05 00:00:01.04 HA 3D6.00184CB912    2  3203
D 2019-07-22 06:44:31.45 00:00:00.00 HA 3D6.00184CB912    1    10
D 2019-07-22 06:45:49.97 00:00:00.00 HA 3D6.00184CB912    1    75
D 2019-07-22 06:46:01.35 00:00:02.06 HA 3D6.00184CB912    3    10
D 2019-07-22 09:38:16.38 00:00:00.00 HA 3D6.1D59672CCE    1 10000
D 2019-07-22 12:20:06.36 00:00:10.33 HA 3D6.00184CB912   11  9397
D 2019-07-22 12:20:23.92 00:00:01.04 HA 3D6.00184CB912    2     6
D 2019-07-22 13:05:25.79 00:00:00.00 HA 3D6.1D59672CD4    1  2613
D 2019-07-22 13:53:54.25 00:00:00.00 HA 3D6.1D592D6062    1  2814
D 2019-07-22 13:53:57.35 00:00:00.00 HA 3D6.1D592D6062    1     2
D 2019-07-22 14:52:34.32 00:00:00.00 HA 3D6.00184CB8ED    1  3403
D 2019-07-22 15:30:19.08 00:00:01.02 HA 3D6.1D592D6062    2  2191
D 2019-07-22 15:30:25.28 00:00:00.00 HA 3D6.1D592D6062    1     4
D 2019-07-22 16:10:34.67 00:00:00.00 HA 3D6.00184CB921    1  2331
D 2019-07-22 16:40:03.49 00:00:02.06 HA 3D6.1D59672D14    3  1711
D 2019-07-22 17:21:34.50 00:00:00.00 HA 3D6.00184CBA19    1  2408
D 2019-07-22 17:32:21.28 00:00:00.00 HA 3D6.00184CB99A    1   625
D 2019-07-22 17:35:38.62 00:00:01.03 HA 3D6.00184CBA19    2   190
D 2019-07-22 17:35:44.82 00:00:05.18 HA 3D6.00184CBA19    6     4
D 2019-07-22 17:35:52.06 00:00:07.24 HA 3D6.00184CBA19    8     1
D 2019-07-22 17:36:12.73 00:00:00.00 HA 3D6.00184CBA19    1    12
D 2019-07-22 17:36:14.80 00:00:03.10 HA 3D6.00184CBA19    4     1
D 2019-07-22 17:37:20.93 00:00:07.24 HA 3D6.00184CBA19    8    60
D 2019-07-22 17:48:44.90 00:00:00.00 HA 3D6.00184CBA19    1   654
D 2019-07-22 18:51:49.50 00:00:01.03 HA 3D6.00184CBA19    2  3662
D 2019-07-22 18:51:56.73 00:00:11.38 HA 3D6.00184CBA19   12     5
D 2019-07-22 18:52:10.17 00:00:07.24 HA 3D6.00184CBA19    8     1
D 2019-07-22 18:53:09.07 00:00:00.00 HA 3D6.00184CBA19    1    49
D 2019-07-22 18:53:11.15 00:00:00.00 HA 3D6.00184CBA19    1     1
D 2019-07-22 20:29:05.04 00:00:05.17 HA 3D6.00184CE0B7    6  5568
D 2019-07-22 20:32:09.99 00:00:00.00 HA 3D6.00184CE0B7    1   173
D 2019-07-22 20:32:12.06 00:00:17.57 HA 3D6.00184CE0B7   18     1
D 2019-07-22 20:33:24.41 00:00:02.06 HA 3D6.00184CE0B7    3    52
D 2019-07-22 20:33:33.71 00:00:03.10 HA 3D6.00184CE0B7    4     6
D 2019-07-22 21:17:24.24 00:00:18.61 HA 3D6.00184CE0B7   19  2542
D 2019-07-22 21:19:58.21 00:00:20.67 HA 3D6.00184CE0B7   21   130
D 2019-07-22 21:20:21.94 00:00:00.00 HA 3D6.00184CE0B7    1     1
D 2019-07-22 21:27:41.10 00:00:00.00 HA 3D6.00184CE04D    1   425
D 2019-07-22 21:42:27.58 00:00:02.08 HA 3D6.1D59672CF3    3   857
D 2019-07-22 21:42:31.72 00:00:02.06 HA 3D6.1D59672CF3    3     1
D 2019-07-22 21:42:41.03 00:00:00.00 HA 3D6.1D59672CF3    1     6
D 2019-07-22 21:58:34.67 00:00:00.00 HA 3D6.00184CB8A1    1   922
D 2019-07-22 22:37:19.37 00:00:01.04 HA 3D6.00184CBAA8    2  2249
D 2019-07-22 22:49:04.02 00:00:07.24 HA 3D6.00184CB912    8   680
D 2019-07-23 00:23:52.82 00:00:00.00 HA 3D6.00184CB8AA    1  5498
D 2019-07-23 01:07:20.60 00:00:01.04 HA 3D6.00184CB912    2  2523
D 2019-07-23 01:07:28.86 00:00:00.00 HA 3D6.00184CB912    1     6
D 2019-07-23 01:43:47.87 00:00:02.07 HA 3D6.00184CB921    3  2108
D 2019-07-23 01:44:05.44 00:00:00.00 HA 3D6.00184CB921    1    14
D 2019-07-23 01:44:07.50 00:00:00.00 HA 3D6.00184CB921    1     1
D 2019-07-23 01:48:56.82 00:00:00.00 HA 3D6.1D59672D14    1   279
D 2019-07-23 01:50:12.24 00:00:00.00 HA 3D6.1D592D6062    1    72
D 2019-07-23 01:52:22.42 00:00:00.00 HA 3D6.00184CB951    1   125
D 2019-07-23 01:53:53.34 00:00:01.04 HA 3D6.1D592D6074    2    87
D 2019-07-23 01:53:58.52 00:00:00.00 HA 3D6.1D592D6074    1     3
D 2019-07-23 02:09:57.33 00:00:00.00 HA 3D6.00184CB99A    1   927
D 2019-07-23 02:11:25.15 00:00:00.00 HA 3D6.00184CE0A0    1    84
D 2019-07-23 02:11:28.25 00:00:00.00 HA 3D6.00184CE0A0    1     2
D 2019-07-23 07:29:00.38 00:00:00.00 HA 3D6.1D592D604E    1 18439
D 2019-07-23 07:29:02.44 00:00:02.07 HA 3D6.1D592D604E    3     1
D 2019-07-23 07:29:06.58 00:00:01.03 HA 3D6.1D592D604E    2     1
D 2019-07-23 07:29:09.68 00:00:01.03 HA 3D6.1D592D604E    2     1
D 2019-07-23 07:29:12.78 00:00:02.07 HA 3D6.1D592D604E    3     1
D 2019-07-23 14:13:11.41 00:00:00.00 HA 3D6.00184CB926    1 23457
D 2019-07-23 14:22:59.30 00:00:01.04 HA 3D6.00184CB926    2   568
D 2019-07-23 14:23:05.50 00:00:01.03 HA 3D6.00184CB926    2     4
D 2019-07-23 15:42:05.78 00:00:00.00 HA 3D6.1D592D6062    1  4586
D 2019-07-23 15:42:07.84 00:00:00.00 HA 3D6.1D592D6062    1     1
D 2019-07-23 15:44:30.42 00:00:03.10 HA 3D6.00184CB951    4   137
D 2019-07-23 15:59:22.08 00:00:01.03 HA 3D6.1D59672D14    2   859
D 2019-07-23 16:20:02.95 00:00:01.03 HA 3D6.00184CB921    2  1199
D 2019-07-23 16:20:07.08 00:00:00.00 HA 3D6.00184CB921    1     2
D 2019-07-23 16:33:38.16 00:00:00.00 HA 3D6.1D59672CD4    1   784
D 2019-07-23 16:46:10.32 00:00:00.00 HA 3D6.00184CE0A0    1   727
D 2019-07-23 16:58:38.36 00:00:00.00 HA 3D6.1D592D6074    1   723
D 2019-07-23 17:02:47.37 00:00:00.00 HA 3D6.1D592D604E    1   240
D 2019-07-23 17:23:22.10 00:00:00.00 HA 3D6.00184CB99A    1  1194
D 2019-07-23 17:28:08.32 00:00:04.13 HA 3D6.00184CBA19    5   276
D 2019-07-23 19:17:53.13 00:00:05.17 HA 3D6.1D59672CF3    6  6368
D 2019-07-23 19:18:02.43 00:00:00.00 HA 3D6.1D59672CF3    1     3
D 2019-07-23 19:18:17.93 00:00:03.10 HA 3D6.1D59672CF3    4    14
D 2019-07-23 19:21:50.78 00:00:00.00 HA 3D6.00184CB99A    1   202
D 2019-07-23 19:24:35.06 00:00:02.08 HA 3D6.1D59672CF3    3   158
D 2019-07-23 19:24:52.63 00:00:02.06 HA 3D6.1D59672CF3    3    14
D 2019-07-23 20:53:08.97 00:00:00.00 HA 3D6.00184CB99A    1  5123
D 2019-07-23 22:04:13.10 00:00:00.00 HA 3D6.00184CBAA8    1  4126
D 2019-07-23 22:23:47.87 00:00:04.15 HA 3D6.00184CBAA8    5  1136
D 2019-07-23 22:31:08.05 00:00:00.00 HA 3D6.00184CBAA8    1   421
D 2019-07-23 22:35:39.78 00:00:01.03 HA 3D6.00184CBAA8    2   262
D 2019-07-23 22:39:35.36 00:00:01.03 HA 3D6.00184CBAA8    2   226
D 2019-07-23 22:42:13.44 00:00:01.04 HA 3D6.00184CBAA8    2   151
D 2019-07-23 22:42:17.58 00:00:02.06 HA 3D6.00184CBAA8    3     2
D 2019-07-23 22:45:31.82 00:00:01.04 HA 3D6.00184CBAA8    2   185
D 2019-07-23 23:02:14.05 00:00:00.00 HA 3D6.00184CB99A    1   968
D 2019-07-23 23:02:17.15 00:00:00.00 HA 3D6.00184CB99A    1     2
D 2019-07-23 23:03:17.08 00:00:01.04 HA 3D6.00184CBAA8    2    57
D 2019-07-23 23:20:47.86 00:00:02.07 HA 3D6.00184CBAA8    3  1015
D 2019-07-23 23:22:10.52 00:00:00.00 HA 3D6.00184CBAA8    1    77
D 2019-07-23 23:26:32.96 00:00:01.04 HA 3D6.00184CBAA8    2   253
D 2019-07-23 23:27:18.45 00:00:02.07 HA 3D6.00184CBAA8    3    42
D 2019-07-23 23:29:04.92 00:00:45.50 HA 3D6.00184CBAA8   45   100
D 2019-07-23 23:34:28.35 00:00:03.12 HA 3D6.00184CBAA8    4   268
D 2019-07-23 23:34:33.53 00:00:00.00 HA 3D6.00184CBAA8    1     1
D 2019-07-23 23:34:37.67 00:00:01.02 HA 3D6.00184CBAA8    2     3
D 2019-07-23 23:35:17.97 00:00:00.00 HA 3D6.00184CBAA8    1    37
D 2019-07-23 23:35:24.18 00:00:01.02 HA 3D6.00184CBAA8    2     5
D 2019-07-23 23:35:39.68 00:00:03.10 HA 3D6.00184CBAA8    4    13
D 2019-07-23 23:40:07.29 00:00:03.10 HA 3D6.00184CBAA8    4   255
D 2019-07-23 23:43:06.06 00:00:05.17 HA 3D6.00184CBAA8    6   169
D 2019-07-23 23:48:13.97 00:00:00.00 HA 3D6.00184CBAA8    1   292
D 2019-07-23 23:48:54.28 00:00:08.28 HA 3D6.00184CBAA8    9    38
