up
Upload #11
Reader: UPstream1  Site: Racon
--------- upload 11 start ---------
    Date        Time      Duration  Type    Tag ID    Count   Gap
E 2018-11-06 08:52:55.76 upload 10 complete
E 2018-11-06 09:02:18.03 supply power ok 12.9V
E 2018-11-06 09:02:18.03 database file opened
E 2018-11-06 09:02:18.03 starting reader after power up
E 2018-11-06 09:02:21.00 check DIP switch 1 on CTL board
D 2018-11-06 09:10:12.13 00:00:03.10 HA 3D6.00184CBA42    4   462
D 2018-11-06 09:11:29.62 00:00:00.00 HA 3D6.00184CBA42    1    71
D 2018-11-06 09:11:32.73 00:00:01.02 HA 3D6.00184CBA42    2     2
D 2018-11-06 09:22:16.39 00:00:01.03 HA 3D6.00184CBA42    2   621
D 2018-11-06 09:36:42.19 00:00:00.00 HA 3D6.00184CBA42    1   836
D 2018-11-06 09:36:44.26 00:00:00.00 HA 3D6.00184CBA42    1     1
D 2018-11-06 09:47:14.49 00:00:00.00 HA 3D6.00184CBA87    1   609
D 2018-11-06 09:47:53.75 00:00:00.00 HA 3D6.00184CE0B7    1    37
D 2018-11-06 09:51:03.85 00:00:01.04 HA 3D6.00184CE0B7    2   183
D 2018-11-06 09:51:09.02 00:00:00.00 HA 3D6.00184CE0B7    1     3
D 2018-11-06 10:04:05.96 00:00:00.00 HA 3D6.00184CBA87    1   751
D 2018-11-06 10:04:09.07 00:00:00.00 HA 3D6.00184CBA87    1     2
D 2018-11-06 10:10:57.17 00:00:00.00 HA 3D6.00184CBB00    1   394
D 2018-11-06 10:14:24.83 00:00:00.00 HA 3D6.00184CE0B7    1   200
D 2018-11-06 10:14:30.00 00:00:06.20 HA 3D6.00184CE0B7    7     4
D 2018-11-06 10:14:39.31 00:00:00.00 HA 3D6.00184CE0B7    1     2
D 2018-11-06 10:15:09.28 00:00:01.03 HA 3D6.00184CE0B7    2    28
D 2018-11-06 10:15:12.38 00:00:40.32 HA 3D6.00184CE0B7   40     1
D 2018-11-06 10:15:58.90 00:00:01.04 HA 3D6.00184CE0B7    2     5
D 2018-11-06 10:16:04.07 00:00:00.00 HA 3D6.00184CE0B7    1     3
D 2018-11-06 10:16:46.44 00:00:00.00 HA 3D6.00184CE0B7    1    40
D 2018-11-06 10:31:00.86 00:00:01.03 HA 3D6.00184CBB00    2   826
D 2018-11-06 10:31:08.10 00:00:04.14 HA 3D6.00184CBB00    5     5
D 2018-11-06 10:31:29.80 00:00:04.13 HA 3D6.00184CBB00    5    16
D 2018-11-06 10:31:37.04 00:00:01.03 HA 3D6.00184CBB00    2     2
D 2018-11-06 10:32:33.86 00:00:00.00 HA 3D6.00184CBB00    1    53
D 2018-11-06 10:32:36.93 00:00:03.13 HA 3D6.00184CBB00    5     1
D 2018-11-06 10:32:57.63 00:00:04.14 HA 3D6.00184CBB00    5    16
D 2018-11-06 10:33:22.43 00:00:01.04 HA 3D6.00184CBB00    2    19
D 2018-11-06 10:33:49.30 00:00:00.00 HA 3D6.00184CBB00    1    24
D 2018-11-06 10:33:53.43 00:00:00.00 HA 3D6.00184CBB00    1     3
D 2018-11-06 10:33:59.63 00:00:09.31 HA 3D6.00184CBB00   10     5
D 2018-11-06 10:48:50.25 00:00:00.00 HA 3D6.00184CB912    1   852
D 2018-11-06 10:52:49.95 00:00:00.00 HA 3D6.00184CBB00    1   231
D 2018-11-06 10:53:00.29 00:00:01.03 HA 3D6.00184CBB00    2     9
D 2018-11-06 10:53:03.39 00:00:00.00 HA 3D6.00184CBB00    1     1
D 2018-11-06 11:20:34.41 00:00:00.00 HA 3D6.00184CB8F0    1  1597
D 2018-11-06 11:27:23.55 00:00:00.00 HA 3D6.1D592D604C    1   395
D 2018-11-06 11:59:45.90 00:00:03.11 HA 3D6.00184CBA56    4  1879
D 2018-11-06 11:59:54.18 00:00:01.03 HA 3D6.00184CBA56    2     4
D 2018-11-06 12:17:26.98 00:00:00.00 HA 3D6.00184CB90D    1  1017
D 2018-11-06 12:17:31.11 00:00:01.04 HA 3D6.00184CB90D    2     3
D 2018-11-06 12:34:08.12 00:00:01.04 HA 3D6.00184CBA56    2   963
D 2018-11-06 12:34:12.26 00:00:02.06 HA 3D6.00184CBA56    3     2
D 2018-11-06 12:35:27.68 00:00:00.00 HA 3D6.00184CB8CF    1    70
D 2018-11-06 12:39:31.51 00:00:03.10 HA 3D6.00184CB912    4   235
D 2018-11-06 12:39:36.68 00:00:00.00 HA 3D6.00184CB912    1     1
D 2018-11-06 12:39:43.91 00:00:00.00 HA 3D6.00184CB912    1     6
D 2018-11-06 12:41:58.23 00:00:00.00 HA 3D6.00184CB8E5    1   129
D 2018-11-06 12:42:39.55 00:00:10.34 HA 3D6.00184CB8E5   11    39
D 2018-11-06 12:42:54.03 00:00:00.00 HA 3D6.00184CB8E5    1     3
D 2018-11-06 12:43:09.53 00:00:08.27 HA 3D6.00184CB8E5    9    14
D 2018-11-06 12:47:39.19 00:00:01.04 HA 3D6.00184CB912    2   252
D 2018-11-06 12:47:42.30 00:00:10.33 HA 3D6.00184CB912   11     1
D 2018-11-06 12:48:10.21 00:00:02.06 HA 3D6.00184CB8F0    3    16
D 2018-11-06 12:49:22.52 00:00:00.00 HA 3D6.00184CB8F0    1    67
D 2018-11-06 12:49:24.59 00:00:01.03 HA 3D6.00184CB8F0    2     1
D 2018-11-06 13:01:22.64 00:00:00.00 HA 3D6.00184CBA27    1   693
D 2018-11-06 13:01:24.70 00:00:01.04 HA 3D6.00184CBA27    2     1
D 2018-11-06 13:01:27.81 00:00:01.03 HA 3D6.00184CB912    2     1
D 2018-11-06 13:01:31.94 00:00:00.00 HA 3D6.00184CB912    1     2
D 2018-11-06 13:20:12.94 00:00:02.07 HA 3D6.00184CB8FB    3  1084
D 2018-11-06 13:20:18.11 00:00:01.04 HA 3D6.00184CB8FB    2     2
D 2018-11-06 13:27:18.62 00:00:00.00 HA 3D6.00184CBA42    1   405
D 2018-11-06 13:42:18.52 00:00:00.00 HA 3D6.00184CB8E7    1   870
D 2018-11-06 13:42:48.49 00:00:01.03 HA 3D6.00184CB8E7    2    28
D 2018-11-06 13:44:49.37 00:00:00.00 HA 3D6.00184CBA42    1   115
D 2018-11-06 13:44:57.64 00:00:03.10 HA 3D6.00184CBA42    4     7
D 2018-11-06 13:50:00.36 00:00:00.00 HA 3D6.1D592D6060    1   289
D 2018-11-06 13:52:45.66 00:00:00.00 HA 3D6.00184CE0B7    1   159
D 2018-11-06 14:14:55.35 00:00:01.03 HA 3D6.00184CB8CF    2  1286
D 2018-11-06 14:14:58.45 00:00:00.00 HA 3D6.00184CB8CF    1     1
D 2018-11-06 14:17:45.82 00:00:00.00 HA 3D6.00184CBB0C    1   161
D 2018-11-06 14:34:07.33 00:00:02.07 HA 3D6.00184CB8F0    3   949
D 2018-11-06 14:34:12.50 00:00:03.10 HA 3D6.00184CB8F0    4     2
D 2018-11-06 14:52:23.55 00:00:42.39 HA 3D6.00184CB912   42  1052
D 2018-11-06 14:53:08.01 00:00:01.04 HA 3D6.00184CB912    2     1
D 2018-11-06 14:53:11.12 00:00:01.03 HA 3D6.00184CB912    2     1
D 2018-11-06 14:56:06.75 00:00:01.04 HA 3D6.00184CB912    2   168
D 2018-11-06 14:56:18.12 00:00:01.04 HA 3D6.00184CB912    2     9
D 2018-11-06 14:56:22.26 00:00:00.00 HA 3D6.00184CB912    1     2
D 2018-11-06 15:00:01.30 00:00:00.00 HA 3D6.00184CB8EF    1   211
D 2018-11-06 15:00:07.49 00:00:00.00 HA 3D6.00184CB8EF    1     5
D 2018-11-06 15:02:05.28 00:00:01.03 HA 3D6.00184CB8E4    2   113
D 2018-11-06 15:02:08.38 00:00:00.00 HA 3D6.00184CB8E4    1     1
D 2018-11-06 15:02:10.44 00:00:00.00 HA 3D6.00184CB8E4    1     1
D 2018-11-06 15:24:42.86 00:00:03.10 HA 3D6.00184CB947    4  1308
D 2018-11-06 15:24:48.04 00:00:06.20 HA 3D6.00184CB947    7     1
D 2018-11-06 15:24:56.31 00:00:00.00 HA 3D6.00184CB947    1     1
D 2018-11-06 19:19:02.21 00:00:00.00 HA 3D6.00184CB8E5    1 13594
D 2018-11-06 23:35:10.54 00:00:00.00 HA 3D6.00184CB8E5    1 14874
D 2018-11-07 14:10:15.96 00:00:01.04 HA 3D6.00184CB876    2 50819
D 2018-11-07 14:11:05.56 00:00:02.07 HA 3D6.00184CB876    3    46
D 2018-11-07 19:25:15.68 00:00:00.00 HA 3D6.00184CE0B7    1 18242
D 2018-11-07 21:49:37.75 00:00:02.07 HA 3D6.00184CE0B7    3  8383
D 2018-11-08 01:22:41.12 00:00:00.00 HA 3D6.00184CB8E5    1 12370
D 2018-11-08 02:25:32.18 00:00:00.00 HA 3D6.00184CBA19    1  3649
D 2018-11-08 06:42:14.61 00:00:02.06 HA 3D6.00184CB947    3 14907
D 2018-11-08 10:14:22.21 00:00:01.03 HA 3D6.00184CB876    2 12316
D 2018-11-08 18:57:50.50 00:00:00.00 HA 3D6.00184CBB00    1 30398
D 2018-11-08 23:47:46.96 00:00:00.00 HA 3D6.00184CBB00    1 16837
D 2018-11-09 00:15:14.85 00:00:01.04 HA 3D6.00184CBB00    2  1594
D 2018-11-09 04:38:45.43 00:00:01.04 HA 3D6.00184CE0B7    2 15301
D 2018-11-09 18:33:34.48 00:00:00.00 HA 3D6.00184CB947    1 48479
D 2018-11-10 17:16:50.25 00:00:00.00 HA 3D6.00184CB8E4    1     .
