up
Upload #4
Reader: Noname  Site: AA
--------- upload 4 start ---------
    Date        Time      Duration  Type    Tag ID    Count   Gap
E 2018-09-25 09:06:17.24 upload 3 complete
E 2018-09-25 09:49:00.00 12.8V 0.11A 0.22A  0N
E 2018-09-25 10:34:00.00 12.8V 0.11A 0.15A  0N
E 2018-09-25 11:19:00.00 12.8V 0.11A 0.18A  0N
E 2018-09-25 12:04:00.00 12.8V 0.11A 0.20A  0N
E 2018-09-25 12:49:00.00 12.8V 0.11A 0.13A  0N
E 2018-09-25 13:34:00.00 12.8V 0.11A 0.18A  0N
E 2018-09-25 14:19:00.00 12.8V 0.11A 0.14A  0N
E 2018-09-25 15:04:00.00 12.8V 0.11A 0.17A  0N
E 2018-09-25 15:49:00.00 12.8V 0.11A 0.21A  0N
E 2018-09-25 16:34:00.00 12.8V 0.11A 0.13A  0N
E 2018-09-25 17:19:00.00 12.8V 0.11A 0.18A  0N
E 2018-09-25 18:04:00.00 12.8V 0.11A 0.15A  0N
E 2018-09-25 18:49:00.00 12.8V 0.11A 0.17A  0N
E 2018-09-25 19:34:00.00 12.7V 0.11A 0.20A  0N
E 2018-09-25 20:19:00.00 12.7V 0.11A 0.12A  0N
E 2018-09-25 21:04:00.00 12.7V 0.11A 0.20A  0N
E 2018-09-25 21:49:00.00 12.7V 0.11A 0.16A  0N
E 2018-09-25 22:34:00.00 12.7V 0.11A 0.16A  0N
E 2018-09-25 23:19:00.00 12.7V 0.11A 0.22A  0N
E 2018-09-26 00:04:00.00 12.7V 0.11A 0.12A  0N
E 2018-09-26 00:49:00.00 12.7V 0.11A 0.18A  0N
E 2018-09-26 01:34:00.00 12.7V 0.11A 0.14A  0N
E 2018-09-26 02:19:00.00 12.7V 0.11A 0.16A  1N
E 2018-09-26 03:04:00.00 12.7V 0.11A 0.15A  1N
E 2018-09-26 03:49:00.00 12.7V 0.11A 0.20A  1N
E 2018-09-26 04:34:00.00 12.7V 0.11A 0.18A  1N
E 2018-09-26 05:19:00.00 12.7V 0.11A 0.18A  0N
E 2018-09-26 06:04:00.00 12.7V 0.11A 0.22A  0N
E 2018-09-26 06:49:00.00 12.7V 0.11A 0.14A  0N
E 2018-09-26 07:34:00.00 12.7V 0.11A 0.18A  0N
E 2018-09-26 08:19:00.00 12.7V 0.11A 0.13A  0N
E 2018-09-26 09:04:00.00 12.7V 0.11A 0.22A  0N
E 2018-09-26 09:49:00.00 12.7V 0.11A 0.15A  0N
E 2018-09-26 10:34:00.00 12.7V 0.11A 0.22A  0N
E 2018-09-26 11:19:00.00 12.7V 0.11A 0.17A  0N
E 2018-09-26 12:04:00.00 12.7V 0.11A 0.17A  0N
E 2018-09-26 12:49:00.00 12.7V 0.11A 0.21A  0N
E 2018-09-26 13:34:00.00 12.7V 0.11A 0.18A  0N
E 2018-09-26 14:19:00.00 12.7V 0.11A 0.15A  0N
E 2018-09-26 15:04:00.00 12.7V 0.11A 0.13A  0N
E 2018-09-26 15:49:00.00 12.7V 0.11A 0.19A  0N
E 2018-09-26 16:34:00.00 12.7V 0.11A 0.16A  0N
E 2018-09-26 17:19:00.00 12.7V 0.11A 0.14A  0N
E 2018-09-26 18:04:00.00 12.7V 0.11A 0.16A  0N
E 2018-09-26 18:49:00.00 12.7V 0.11A 0.17A  0N
E 2018-09-26 19:34:00.00 12.7V 0.11A 0.13A  1N
E 2018-09-26 20:19:00.00 12.7V 0.11A 0.20A  1N
E 2018-09-26 21:04:00.00 12.7V 0.11A 0.15A  1N
E 2018-09-26 21:49:00.00 12.7V 0.11A 0.22A  0N
E 2018-09-26 22:34:00.00 12.7V 0.11A 0.15A  0N
E 2018-09-26 23:19:00.00 12.6V 0.11A 0.21A  0N
E 2018-09-27 00:04:00.00 12.6V 0.11A 0.18A  1N
E 2018-09-27 00:49:00.00 12.6V 0.11A 0.17A  0N
E 2018-09-27 01:34:00.00 12.6V 0.11A 0.21A  0N
E 2018-09-27 02:19:00.00 12.6V 0.11A 0.16A  1N
E 2018-09-27 03:04:00.00 12.6V 0.11A 0.20A  0N
E 2018-09-27 03:49:00.00 12.6V 0.11A 0.19A  0N
E 2018-09-27 04:34:00.00 12.6V 0.11A 0.17A  0N
E 2018-09-27 05:19:00.00 12.6V 0.11A 0.18A  0N
E 2018-09-27 06:04:00.00 12.6V 0.11A 0.15A  1N
E 2018-09-27 06:49:00.00 12.6V 0.11A 0.17A  0N
E 2018-09-27 07:34:00.00 12.6V 0.11A 0.13A  0N
E 2018-09-27 08:19:00.00 12.6V 0.11A 0.19A  0N
E 2018-09-27 09:04:00.00 12.6V 0.11A 0.17A  0N
E 2018-09-27 09:49:00.00 12.6V 0.11A 0.22A  0N
E 2018-09-27 10:34:00.00 12.6V 0.11A 0.17A  0N
E 2018-09-27 11:19:00.00 12.6V 0.11A 0.18A  0N
E 2018-09-27 12:04:00.00 12.6V 0.11A 0.20A  0N
E 2018-09-27 12:49:00.00 12.6V 0.11A 0.16A  0N
E 2018-09-27 13:34:00.00 12.6V 0.11A 0.14A  0N
E 2018-09-27 14:19:00.00 12.6V 0.11A 0.14A  0N
E 2018-09-27 15:04:00.00 12.6V 0.11A 0.15A  0N
E 2018-09-27 15:49:00.00 12.6V 0.11A 0.18A  1N
E 2018-09-27 16:34:00.00 12.6V 0.11A 0.12A  0N
E 2018-09-27 17:19:00.00 12.6V 0.11A 0.17A  0N
E 2018-09-27 18:04:00.00 12.6V 0.11A 0.15A  1N
E 2018-09-27 18:49:00.00 12.6V 0.11A 0.23A  0N
E 2018-09-27 19:34:00.00 12.6V 0.11A 0.17A  1N
E 2018-09-27 20:19:00.00 12.6V 0.11A 0.16A  0N
E 2018-09-27 21:04:00.00 12.6V 0.11A 0.21A  1N
E 2018-09-27 21:49:00.00 12.6V 0.11A 0.15A  1N
E 2018-09-27 22:34:00.00 12.6V 0.11A 0.17A  1N
E 2018-09-27 23:19:00.00 12.6V 0.11A 0.13A  0N
E 2018-09-28 00:04:00.00 12.6V 0.11A 0.18A  0N
E 2018-09-28 00:49:00.00 12.6V 0.11A 0.13A  0N
E 2018-09-28 01:34:00.00 12.6V 0.11A 0.16A  1N
E 2018-09-28 02:19:00.00 12.6V 0.11A 0.16A  0N
E 2018-09-28 03:04:00.00 12.6V 0.11A 0.12A  0N
E 2018-09-28 03:49:00.00 12.6V 0.11A 0.18A  0N
E 2018-09-28 04:34:00.00 12.6V 0.11A 0.13A  0N
E 2018-09-28 05:19:00.00 12.6V 0.11A 0.17A  0N
E 2018-09-28 06:04:00.00 12.6V 0.11A 0.16A  1N
E 2018-09-28 06:49:00.00 12.6V 0.11A 0.13A  1N
E 2018-09-28 07:34:00.00 12.6V 0.11A 0.17A  1N
E 2018-09-28 08:19:00.00 12.6V 0.11A 0.19A  0N
E 2018-09-28 09:04:00.00 12.6V 0.11A 0.15A  0N
E 2018-09-28 09:49:00.00 12.6V 0.11A 0.15A  0N
E 2018-09-28 10:34:00.00 12.6V 0.11A 0.18A  0N
E 2018-09-28 11:19:00.00 12.6V 0.11A 0.13A  0N
E 2018-09-28 12:04:00.00 12.6V 0.11A 0.18A  0N
E 2018-09-28 12:49:00.00 12.6V 0.11A 0.13A  0N
E 2018-09-28 13:34:00.00 12.6V 0.11A 0.17A  0N
E 2018-09-28 14:19:00.00 12.6V 0.11A 0.17A  0N
E 2018-09-28 15:04:00.00 12.6V 0.11A 0.13A  0N
E 2018-09-28 15:49:00.00 12.6V 0.11A 0.20A  0N
E 2018-09-28 16:34:00.00 12.6V 0.11A 0.15A  0N
E 2018-09-28 17:19:00.00 12.6V 0.11A 0.14A  0N
E 2018-09-28 18:04:00.00 12.6V 0.11A 0.15A  0N
E 2018-09-28 18:49:00.01 12.6V 0.11A 0.18A  0N
E 2018-09-28 19:34:00.00 12.6V 0.11A 0.18A  0N
E 2018-09-28 20:19:00.00 12.6V 0.11A 0.19A  0N
E 2018-09-28 21:04:00.00 12.6V 0.11A 0.16A  1N
E 2018-09-28 21:49:00.00 12.5V 0.11A 0.20A  0N
E 2018-09-28 22:34:00.00 12.5V 0.11A 0.17A  1N
E 2018-09-28 23:19:00.00 12.5V 0.11A 0.18A  0N
E 2018-09-29 00:04:00.00 12.5V 0.11A 0.20A  0N
E 2018-09-29 00:49:00.00 12.5V 0.11A 0.15A  1N
E 2018-09-29 01:34:00.00 12.5V 0.11A 0.22A  1N
E 2018-09-29 02:19:00.00 12.5V 0.11A 0.14A  1N
E 2018-09-29 03:04:00.00 12.5V 0.11A 0.18A  1N
E 2018-09-29 03:49:00.00 12.5V 0.11A 0.12A  1N
E 2018-09-29 04:34:00.00 12.5V 0.11A 0.18A  1N
E 2018-09-29 05:19:00.00 12.5V 0.11A 0.15A  0N
E 2018-09-29 06:04:00.00 12.5V 0.11A 0.15A  1N
E 2018-09-29 06:49:00.00 12.5V 0.11A 0.18A  1N
E 2018-09-29 07:34:00.00 12.5V 0.11A 0.13A  0N
E 2018-09-29 08:19:00.00 12.5V 0.11A 0.18A  0N
E 2018-09-29 09:04:00.00 12.5V 0.11A 0.15A  1N
E 2018-09-29 09:49:00.00 12.5V 0.11A 0.19A  0N
E 2018-09-29 10:34:00.00 12.5V 0.11A 0.17A  0N
E 2018-09-29 11:19:00.00 12.5V 0.11A 0.19A  0N
E 2018-09-29 12:04:00.00 12.5V 0.11A 0.18A  0N
E 2018-09-29 12:49:00.00 12.5V 0.11A 0.18A  0N
E 2018-09-29 13:34:00.00 12.5V 0.11A 0.19A  0N
E 2018-09-29 14:19:00.00 12.5V 0.11A 0.17A  0N
E 2018-09-29 15:04:00.00 12.5V 0.11A 0.19A  0N
E 2018-09-29 15:49:00.00 12.5V 0.11A 0.20A  0N
E 2018-09-29 16:34:00.00 12.5V 0.11A 0.18A  0N
E 2018-09-29 17:19:00.00 12.5V 0.11A 0.15A  0N
E 2018-09-29 18:04:00.00 12.5V 0.11A 0.15A  1N
E 2018-09-29 18:49:00.00 12.5V 0.11A 0.18A  0N
E 2018-09-29 19:34:00.00 12.5V 0.11A 0.12A  1N
E 2018-09-29 20:19:00.00 12.5V 0.11A 0.18A  1N
E 2018-09-29 21:04:00.00 12.5V 0.11A 0.14A  1N
E 2018-09-29 21:49:00.00 12.5V 0.11A 0.17A  1N
E 2018-09-29 22:34:00.00 12.5V 0.11A 0.15A  1N
E 2018-09-29 23:19:00.00 12.5V 0.11A 0.20A  1N
E 2018-09-30 00:04:00.00 12.5V 0.11A 0.18A  1N
E 2018-09-30 00:49:00.00 12.5V 0.11A 0.18A  1N
E 2018-09-30 01:34:00.00 12.5V 0.11A 0.22A  1N
E 2018-09-30 02:19:00.00 12.5V 0.11A 0.15A  1N
E 2018-09-30 03:04:00.00 12.5V 0.11A 0.21A  1N
E 2018-09-30 03:49:00.00 12.5V 0.11A 0.18A  1N
E 2018-09-30 04:34:00.00 12.5V 0.11A 0.18A  1N
E 2018-09-30 05:19:00.00 12.5V 0.11A 0.18A  1N
E 2018-09-30 06:04:00.00 12.5V 0.11A 0.14A  1N
E 2018-09-30 06:49:00.00 12.5V 0.11A 0.17A  1N
E 2018-09-30 07:34:00.00 12.5V 0.11A 0.13A  0N
E 2018-09-30 08:19:00.00 12.5V 0.11A 0.19A  0N
E 2018-09-30 09:04:00.00 12.5V 0.11A 0.14A  1N
E 2018-09-30 09:49:00.00 12.5V 0.11A 0.19A  0N
E 2018-09-30 10:34:00.00 12.5V 0.11A 0.13A  0N
E 2018-09-30 11:19:00.00 12.5V 0.11A 0.20A  0N
E 2018-09-30 12:04:00.00 12.5V 0.11A 0.16A  1N
E 2018-09-30 12:49:00.00 12.5V 0.11A 0.17A  0N
E 2018-09-30 13:34:00.00 12.5V 0.11A 0.19A  0N
E 2018-09-30 14:19:00.00 12.5V 0.11A 0.13A  0N
E 2018-09-30 15:04:00.00 12.5V 0.11A 0.17A  0N
E 2018-09-30 15:49:00.00 12.5V 0.11A 0.13A  0N
E 2018-09-30 16:34:00.00 12.5V 0.11A 0.18A  0N
E 2018-09-30 17:19:00.00 12.5V 0.11A 0.15A  0N
E 2018-09-30 18:04:00.00 12.5V 0.11A 0.18A  1N
E 2018-09-30 18:49:00.00 12.5V 0.11A 0.19A  1N
E 2018-09-30 19:34:00.00 12.5V 0.11A 0.17A  1N
E 2018-09-30 20:19:00.00 12.4V 0.11A 0.22A  1N
E 2018-09-30 21:04:00.00 12.4V 0.11A 0.15A  1N
E 2018-09-30 21:49:00.00 12.4V 0.11A 0.18A  1N
E 2018-09-30 22:34:00.00 12.4V 0.11A 0.13A  1N
