up
Upload #5
Reader: Noname  Site: AA
--------- upload 5 start ---------
    Date        Time      Duration  Type    Tag ID    Count   Gap
E 2018-11-01 07:26:27.91 upload 4 complete
D 2018-11-01 07:28:13.86 00:00:02.06 HA 3D6.00184CB9B6    3   153
D 2018-11-01 07:28:18.99 00:00:00.00 HA 3D6.00184CB9B6    1     1
D 2018-11-01 07:28:20.07 00:00:00.00 HA 3D6.00184CB9B6    1     1
D 2018-11-01 07:28:43.82 00:00:00.00 HA 3D6.00184CB9B6    1    22
D 2018-11-01 07:28:45.89 00:00:01.03 HA 3D6.00184CB9B6    2     1
D 2018-11-01 08:27:32.13 00:00:00.00 HA 3D6.00184CBABB    1  3411
D 2018-11-01 08:29:59.88 00:00:01.02 HA 3D6.00184CBABB    2   142
D 2018-11-01 08:30:03.98 00:00:00.00 HA 3D6.00184CBABB    1     1
E 2018-11-01 08:46:11.52 supply power ok 12.8V
E 2018-11-01 08:46:11.52 database file opened
E 2018-11-01 08:46:11.52 starting reader after power up
E 2018-11-01 08:46:38.00 check DIP switch 1 on CTL board
D 2018-11-01 08:47:23.46 00:00:03.10 HA 3D6.00184CB9B6    4    72
D 2018-11-01 08:47:30.70 00:00:00.00 HA 3D6.00184CB9B6    1     3
D 2018-11-01 08:47:34.83 00:00:00.00 HA 3D6.00184CB9B6    1     3
D 2018-11-01 08:47:36.90 00:00:01.03 HA 3D6.00184CB9B6    2     1
D 2018-11-01 08:47:44.13 00:00:04.14 HA 3D6.00184CB9B6    5     5
D 2018-11-01 14:42:16.41 00:00:00.00 HA 3D6.00184CBA7A    1 20584
D 2018-11-01 14:42:18.47 00:00:00.00 HA 3D6.00184CBA7A    1     1
D 2018-11-01 15:08:48.63 00:00:00.00 HA 3D6.00184CBAA1    1  1538
D 2018-11-01 15:09:19.63 00:00:01.04 HA 3D6.00184CBAA1    2    29
D 2018-11-01 15:09:22.73 00:00:00.00 HA 3D6.00184CBAA1    1     1
D 2018-11-01 15:09:24.79 00:00:05.18 HA 3D6.00184CBAA1    6     1
D 2018-11-01 15:09:33.07 00:00:01.04 HA 3D6.00184CBAA1    2     2
D 2018-11-01 15:09:36.17 00:00:00.00 HA 3D6.00184CBAA1    1     1
D 2018-11-01 15:09:40.31 00:00:04.14 HA 3D6.00184CBAA1    5     3
D 2018-11-01 15:09:47.55 00:00:09.30 HA 3D6.00184CBAA1   10     2
D 2018-11-01 15:09:59.91 00:00:00.04 HA 3D6.00184CBAA1    2     1
D 2018-11-01 15:11:01.94 00:00:00.00 HA 3D6.00184CBAA1    1    59
D 2018-11-01 15:15:47.14 00:00:36.19 HA 3D6.00184CBAA1   36   275
D 2018-11-01 15:18:00.46 00:00:01.02 HA 3D6.00184CBA71    2    93
D 2018-11-01 15:18:16.98 00:00:28.96 HA 3D6.00184CBAA1   29    14
D 2018-11-01 15:18:48.01 00:00:00.00 HA 3D6.00184CBAA1    1     1
D 2018-11-01 15:18:51.11 00:00:09.31 HA 3D6.00184CBAA1   10     2
D 2018-11-01 15:20:30.31 00:00:00.00 HA 3D6.00184CBAA1    1    86
D 2018-11-01 15:20:32.39 00:00:00.00 HA 3D6.00184CBAA1    1     1
D 2018-11-01 15:24:46.55 00:00:04.13 HA 3D6.00184CBAA1    5   245
D 2018-11-01 15:24:54.82 00:00:13.45 HA 3D6.00184CBAA1   14     3
D 2018-11-01 15:28:24.57 00:00:00.00 HA 3D6.00184CBAA1    1   189
D 2018-11-01 15:28:49.37 00:00:53.78 HA 3D6.00184CBAA1   53    23
D 2018-11-01 15:30:35.84 00:00:00.00 HA 3D6.00184CBAA1    1    50
D 2018-11-01 15:30:46.17 00:00:38.26 HA 3D6.00184CBAA1   38     9
D 2018-11-01 15:31:26.50 00:00:00.00 HA 3D6.00184CBAA1    1     1
D 2018-11-01 15:32:07.83 00:00:02.07 HA 3D6.00184CBAA1    3    39
D 2018-11-01 15:32:12.97 00:00:00.00 HA 3D6.00184CBAA1    1     1
D 2018-11-01 15:32:39.87 00:00:22.75 HA 3D6.00184CBAA1   23    26
D 2018-11-01 15:33:11.93 00:00:01.02 HA 3D6.00184CBAA1    2     8
D 2018-11-01 15:35:45.88 00:00:00.00 HA 3D6.00184CBAA1    1   147
D 2018-11-01 15:35:48.98 00:00:01.04 HA 3D6.00184CBAA1    2     2
D 2018-11-01 15:35:54.15 00:00:05.17 HA 3D6.00184CBAA1    6     3
D 2018-11-01 15:36:02.42 00:00:00.00 HA 3D6.00184CBAA1    1     2
D 2018-11-01 15:38:00.22 00:00:01.04 HA 3D6.00184CBAA1    2   113
D 2018-11-01 15:38:29.16 00:00:00.00 HA 3D6.00184CBAA1    1    26
D 2018-11-01 15:39:35.29 00:00:19.64 HA 3D6.00184CBAA1   20    63
D 2018-11-01 15:39:57.01 00:00:02.06 HA 3D6.00184CBAA1    3     1
D 2018-11-01 15:40:01.13 00:00:03.10 HA 3D6.00184CBAA1    4     1
D 2018-11-01 15:40:07.34 00:00:00.00 HA 3D6.00184CBAA1    1     2
D 2018-11-01 15:40:51.77 00:00:02.06 HA 3D6.00184CBAA1    3    42
D 2018-11-01 15:41:00.04 00:00:04.14 HA 3D6.00184CBAA1    5     5
D 2018-11-01 15:42:16.51 00:00:00.00 HA 3D6.00184CBAA1    1    69
D 2018-11-01 15:42:45.45 00:00:00.00 HA 3D6.00184CBAA1    1    27
D 2018-11-01 15:42:47.52 00:00:01.03 HA 3D6.00184CBAA1    2     1
D 2018-11-01 15:42:51.65 00:00:02.07 HA 3D6.00184CBAA1    3     2
D 2018-11-01 15:42:55.78 00:00:01.04 HA 3D6.00184CBAA1    2     1
D 2018-11-01 15:43:02.00 00:00:00.00 HA 3D6.00184CBAA1    1     4
D 2018-11-01 15:43:17.50 00:00:00.00 HA 3D6.00184CBAA1    1    14
D 2018-11-01 15:43:30.93 00:00:00.00 HA 3D6.00184CBAA1    1    12
D 2018-11-01 15:43:41.27 00:00:00.00 HA 3D6.00184CBAA1    1     9
D 2018-11-01 15:45:12.20 00:00:00.00 HA 3D6.00184CBAA1    1    87
D 2018-11-01 15:45:17.36 00:00:00.00 HA 3D6.00184CBAA1    1     4
D 2018-11-01 15:45:24.60 00:00:01.03 HA 3D6.00184CBAA1    2     6
D 2018-11-01 15:45:27.70 00:00:00.00 HA 3D6.00184CBAA1    1     1
D 2018-11-01 15:55:21.82 00:00:00.00 HA 3D6.00184CBAA1    1   574
D 2018-11-01 15:56:01.08 00:00:08.28 HA 3D6.00184CBAA1    9    37
D 2018-11-01 15:56:16.59 00:00:20.69 HA 3D6.00184CBAA1   21     6
D 2018-11-01 15:56:39.34 00:00:02.06 HA 3D6.00184CBAA1    3     1
