up
Upload #6
Reader: Noname  Site: AA
--------- upload 6 start ---------
    Date        Time      Duration  Type    Tag ID    Count   Gap
E 2018-11-06 10:56:00.87 upload 5 complete
D 2018-11-06 10:57:09.95 00:00:00.00 HA 3D6.00184CB9B6    1   273
E 2018-11-06 10:58:56.25 supply power ok 13.0V
E 2018-11-06 10:58:56.25 database file opened
E 2018-11-06 10:58:56.25 starting reader after power up
E 2018-11-06 10:58:59.00 check DIP switch 1 on CTL board
D 2018-11-06 12:25:47.40 00:00:00.00 HA 3D6.00184CBAA1    1  5047
D 2018-11-06 13:30:57.11 00:00:00.00 HA 3D6.00184CBAA1    1  3783
D 2018-11-06 13:31:01.24 00:00:00.00 HA 3D6.00184CBAA1    1     3
D 2018-11-06 15:08:43.36 00:00:00.00 HA 3D6.00184CBAAD    1  5673
D 2018-11-06 15:14:22.23 00:00:00.00 HA 3D6.00184CB900    1   327
D 2018-11-06 15:14:29.46 00:00:00.00 HA 3D6.00184CB900    1     6
D 2018-11-06 15:42:44.90 00:00:00.00 HA 3D6.00184CBAAD    1  1640
D 2018-11-06 15:42:48.01 00:00:00.00 HA 3D6.00184CBAAD    1     2
D 2018-11-06 15:43:01.43 00:00:01.04 HA 3D6.00184CBAAD    2    12
D 2018-11-06 15:43:11.76 00:00:00.00 HA 3D6.00184CBAAD    1     8
D 2018-11-06 16:46:45.38 00:00:00.00 HA 3D6.00184CB9C2    1  3690
D 2018-11-06 21:30:49.29 00:00:02.07 HA 3D6.00184CB923    3 16496
D 2018-11-06 21:30:53.42 00:00:01.04 HA 3D6.00184CB923    2     1
D 2018-11-06 21:31:14.10 00:00:03.10 HA 3D6.00184CB923    4    18
D 2018-11-06 21:43:47.26 00:00:02.07 HA 3D6.00184CB923    3   725
D 2018-11-06 21:43:59.66 00:00:03.11 HA 3D6.00184CB923    4     9
D 2018-11-06 21:54:13.35 00:00:00.00 HA 3D6.00184CB923    1   590
D 2018-11-06 23:38:37.27 00:00:00.00 HA 3D6.00184CB900    1  6062
D 2018-11-07 03:50:46.34 00:00:00.00 HA 3D6.00184CBA62    1 14642
D 2018-11-07 03:50:53.57 00:00:01.04 HA 3D6.00184CBA62    2     6
D 2018-11-07 03:51:57.63 00:00:00.00 HA 3D6.00184CBAB5    1    60
D 2018-11-07 04:28:12.53 00:00:00.00 HA 3D6.00184CB959    1  2104
D 2018-11-07 04:28:15.63 00:00:00.00 HA 3D6.00184CB959    1     2
D 2018-11-07 04:45:07.12 00:00:00.00 HA 3D6.00184CB959    1   978
D 2018-11-07 04:57:15.53 00:00:00.00 HA 3D6.00184CBA7A    1   704
D 2018-11-07 04:57:17.59 00:00:00.00 HA 3D6.00184CBA7A    1     1
D 2018-11-07 05:01:43.12 00:00:00.00 HA 3D6.00184CB959    1   256
D 2018-11-07 05:10:38.33 00:00:01.04 HA 3D6.00184CBAA1    2   517
D 2018-11-07 11:07:04.18 00:00:00.00 HA 3D6.00184CBAA1    1 20697
D 2018-11-07 12:16:53.63 00:00:00.00 HA 3D6.00184CBAA1    1  4054
D 2018-11-07 14:36:31.77 00:00:00.00 HA 3D6.00184CBA7A    1  8108
D 2018-11-07 15:03:10.15 00:00:01.03 HA 3D6.00184CBA7A    2  1546
D 2018-11-07 15:03:28.75 00:00:04.14 HA 3D6.00184CBA7A    5    16
D 2018-11-07 15:33:04.84 00:00:00.00 HA 3D6.00184CBAA1    1  1714
D 2018-11-07 20:12:04.73 00:00:01.04 HA 3D6.00184CBAAD    2 16201
D 2018-11-08 04:20:06.98 00:00:00.00 HA 3D6.00184CBA71    1 28339
D 2018-11-08 04:20:32.82 00:00:03.10 HA 3D6.00184CBA71    4    24
D 2018-11-08 04:43:30.11 00:00:05.17 HA 3D6.00184CBAA1    6  1329
D 2018-11-08 04:43:49.73 00:00:00.00 HA 3D6.00184CBAA1    1    13
D 2018-11-08 05:25:33.22 00:00:01.03 HA 3D6.00184CBAA1    2  2422
D 2018-11-08 05:33:51.23 00:00:00.00 HA 3D6.00184CBA7A    1   480
D 2018-11-08 06:23:38.24 00:00:00.00 HA 3D6.00184CBAA1    1  2890
D 2018-11-08 07:50:12.15 00:00:00.00 HA 3D6.00184CBAA1    1  5026
D 2018-11-08 07:50:14.22 00:00:03.10 HA 3D6.00184CBAA1    4     1
D 2018-11-08 09:43:22.05 00:00:01.04 HA 3D6.00184CBA71    2  6566
D 2018-11-08 14:54:32.32 00:00:00.00 HA 3D6.00184CB900    1 18069
D 2018-11-08 15:29:02.89 00:00:03.11 HA 3D6.00184CBA62    4  2003
D 2018-11-08 15:29:10.13 00:00:00.00 HA 3D6.00184CBA62    1     3
D 2018-11-08 23:32:18.81 00:00:02.07 HA 3D6.00184CB9C2    3 28057
