up
Upload #2
Reader: Noname  Site: AA
--------- upload 2 start ---------
    Date        Time      Duration  Type    Tag ID    Count   Gap
E 2019-06-26 05:09:00.49 upload 1 complete
D 2019-06-26 05:10:42.38 00:00:01.04 HA 3D6.1D592D60A3    2   513
D 2019-06-26 05:10:46.52 00:00:00.00 HA 3D6.1D592D60A3    1     2
D 2019-06-26 05:10:48.58 00:00:01.04 HA 3D6.1D592D60A3    2     1
D 2019-06-26 14:27:21.30 00:00:01.04 HA 3D6.00184CBA6B    2 32319
D 2019-06-26 14:27:28.54 00:00:00.00 HA 3D6.00184CBA6B    1     5
D 2019-06-26 16:23:38.22 00:00:02.06 HA 3D6.00184CBA8A    3  6745
D 2019-06-26 16:25:25.66 00:00:05.17 HA 3D6.00184CBA8A    6   101
D 2019-06-26 16:55:40.89 00:00:00.00 HA 3D6.00184CBA7D    1  1751
D 2019-06-26 16:57:20.08 00:00:00.00 HA 3D6.00184CBA7D    1    95
D 2019-06-26 16:59:27.16 00:00:02.06 HA 3D6.00184CBA84    3   122
D 2019-06-26 17:00:58.08 00:00:00.00 HA 3D6.00184CBA7D    1    85
D 2019-06-26 17:01:07.38 00:00:00.00 HA 3D6.00184CBA7D    1     8
D 2019-06-26 17:02:02.13 00:00:01.04 HA 3D6.00184CBA7D    2    52
D 2019-06-26 17:02:27.96 00:00:00.00 HA 3D6.00184CBA84    1    23
D 2019-06-26 17:03:25.82 00:00:01.03 HA 3D6.00184CBA7D    2    55
D 2019-06-26 17:03:49.59 00:00:00.00 HA 3D6.00184CE063    1    21
D 2019-06-26 17:05:59.77 00:00:00.00 HA 3D6.00184CBA7D    1   125
D 2019-06-26 17:06:01.83 00:00:01.04 HA 3D6.00184CBA7D    2     1
D 2019-06-26 17:06:05.93 00:00:01.08 HA 3D6.00184CBA7D    3     1
D 2019-06-26 17:06:13.20 00:00:00.00 HA 3D6.00184CBA7D    1     5
D 2019-06-26 17:06:16.30 00:00:01.04 HA 3D6.00184CBA7D    2     2
D 2019-06-26 17:06:41.11 00:00:00.00 HA 3D6.00184CE063    1    22
D 2019-06-26 17:08:05.82 00:00:00.00 HA 3D6.00184CE063    1    81
D 2019-06-26 17:08:12.03 00:00:01.04 HA 3D6.00184CE063    2     5
D 2019-06-26 17:08:51.28 00:00:11.38 HA 3D6.00184CBAA3   12    36
D 2019-06-26 17:09:04.73 00:00:00.00 HA 3D6.00184CBAA3    1     1
D 2019-06-26 17:09:06.80 00:00:02.06 HA 3D6.00184CBAA3    3     1
D 2019-06-26 17:09:11.93 00:00:00.03 HA 3D6.00184CBAA3    2     1
D 2019-06-26 17:09:14.04 00:00:01.04 HA 3D6.00184CBAA3    2     1
D 2019-06-26 17:09:17.14 00:00:04.14 HA 3D6.00184CBAA3    5     1
D 2019-06-26 17:21:05.91 00:00:00.00 HA 3D6.00184CE103    1   681
D 2019-06-26 17:23:03.70 00:00:00.00 HA 3D6.00184CBA99    1   113
D 2019-06-26 17:23:16.11 00:00:01.03 HA 3D6.00184CBA99    2    11
D 2019-06-26 17:25:23.20 00:00:00.00 HA 3D6.00184CE103    1   121
D 2019-06-26 17:26:32.42 00:00:00.00 HA 3D6.00184CE103    1    66
D 2019-06-26 17:27:43.71 00:00:02.06 HA 3D6.00184CE103    3    68
D 2019-06-26 17:27:47.85 00:00:00.00 HA 3D6.00184CE103    1     1
D 2019-06-26 17:28:11.61 00:00:01.04 HA 3D6.00184CE103    2    22
D 2019-06-26 17:28:31.25 00:00:00.00 HA 3D6.00184CE103    1    17
D 2019-06-26 17:28:34.35 00:00:00.00 HA 3D6.00184CE103    1     2
D 2019-06-26 17:33:47.40 00:00:01.04 HA 3D6.00184CE103    2   302
D 2019-06-26 17:34:33.89 00:00:00.00 HA 3D6.00184CBA6B    1    43
D 2019-06-26 17:35:10.06 00:00:00.00 HA 3D6.00184CBA6B    1    34
D 2019-06-26 17:37:19.21 00:00:00.00 HA 3D6.00184CE103    1   124
D 2019-06-26 17:38:49.10 00:00:00.00 HA 3D6.00184CE103    1    86
D 2019-06-26 17:39:12.85 00:00:00.00 HA 3D6.00184CE103    1    22
D 2019-06-26 17:40:43.78 00:00:00.00 HA 3D6.00184CE103    1    87
D 2019-06-26 17:40:56.18 00:00:00.00 HA 3D6.00184CE103    1    11
D 2019-06-26 17:48:26.63 00:00:01.04 HA 3D6.00184CBA8E    2   435
D 2019-06-26 17:48:45.24 00:00:00.00 HA 3D6.00184CBA8E    1    16
D 2019-06-26 17:49:09.02 00:00:00.00 HA 3D6.00184CBA8E    1    22
D 2019-06-26 17:56:51.86 00:00:00.00 HA 3D6.00184CBA67    1   447
D 2019-06-26 17:56:59.11 00:00:00.00 HA 3D6.00184CBA67    1     6
D 2019-06-26 21:02:09.59 00:00:00.00 HA 3D6.00184CB98F    1 10753
D 2019-06-26 21:03:03.33 00:00:01.03 HA 3D6.00184CB98F    2    51
D 2019-06-26 21:03:12.63 00:00:01.03 HA 3D6.00184CB98F    2     7
D 2019-06-26 21:05:26.94 00:00:00.00 HA 3D6.00184CB98F    1   128
D 2019-06-26 21:06:03.11 00:00:02.06 HA 3D6.00184CB98F    3    34
D 2019-06-26 21:40:44.98 00:00:00.00 HA 3D6.00184CBA8E    1  2012
D 2019-06-26 21:41:23.23 00:00:00.00 HA 3D6.00184CBA8E    1    36
D 2019-06-26 21:41:28.40 00:00:01.03 HA 3D6.00184CBA8E    2     4
D 2019-06-26 21:41:35.63 00:00:00.00 HA 3D6.00184CBA8E    1     5
D 2019-06-26 21:41:38.73 00:00:01.03 HA 3D6.00184CBA8E    2     2
D 2019-06-26 21:41:53.20 00:00:05.17 HA 3D6.00184CBA8E    6    12
D 2019-06-26 21:42:02.50 00:00:00.00 HA 3D6.00184CBA8E    1     3
D 2019-06-26 21:42:04.57 00:00:00.00 HA 3D6.00184CBA8E    1     1
D 2019-06-26 21:42:06.64 00:00:02.07 HA 3D6.00184CBA8E    3     1
D 2019-06-26 21:42:18.02 00:00:00.00 HA 3D6.00184CBA8E    1     8
D 2019-06-26 21:42:21.12 00:00:00.00 HA 3D6.00184CBA8E    1     2
D 2019-06-26 21:42:32.48 00:00:01.04 HA 3D6.00184CBA8E    2    10
D 2019-06-26 21:42:35.58 00:00:02.08 HA 3D6.00184CBA8E    3     1
D 2019-06-26 21:42:39.72 00:00:00.00 HA 3D6.00184CBA8E    1     1
D 2019-06-26 21:42:41.79 00:00:04.13 HA 3D6.00184CBA8E    5     1
D 2019-06-26 21:42:48.00 00:00:02.07 HA 3D6.00184CBA8E    3     1
D 2019-06-26 21:42:52.14 00:00:00.00 HA 3D6.00184CBA8E    1     1
D 2019-06-26 21:42:54.20 00:00:02.07 HA 3D6.00184CBA8E    3     1
D 2019-06-26 21:42:59.37 00:00:00.00 HA 3D6.00184CBA8E    1     2
D 2019-06-26 22:02:42.39 00:00:01.03 HA 3D6.00184CBA8E    2  1144
D 2019-06-26 22:02:46.53 00:00:01.02 HA 3D6.00184CBA8E    2     2
D 2019-06-26 22:02:49.63 00:00:00.00 HA 3D6.00184CBA8E    1     1
D 2019-06-26 22:03:41.30 00:00:03.10 HA 3D6.00184CBA8E    4    49
D 2019-06-26 22:04:13.33 00:00:00.00 HA 3D6.00184CBA8E    1    27
D 2019-06-26 22:04:16.44 00:00:01.02 HA 3D6.00184CBA8E    2     2
D 2019-06-26 22:04:19.54 00:00:00.00 HA 3D6.00184CBA8E    1     1
D 2019-06-26 22:04:22.64 00:00:00.00 HA 3D6.00184CBA8E    1     2
D 2019-06-26 22:04:31.94 00:00:03.11 HA 3D6.00184CBA8E    4     8
D 2019-06-26 22:04:37.11 00:00:02.06 HA 3D6.00184CBA8E    3     1
