Date,Time,Tag ID,Species,Length,Capture Method,Marked At
4/18/2018,0 days 12:36:00,3D6.00184CBA3B,MODU,363,Fyke,D1
4/18/2018,0 days 12:40:00,3D6.00184CBA03,MODU,240,Fyke,D1
4/18/2018,0 days 12:43:00,3D6.00184CBA0E,MODU,290,Fyke,D1
4/18/2018,0 days 12:44:00,3D6.00184CBA35,MODU,140,Fyke,D1
4/18/2018,0 days 12:46:00,3D6.00184CBA0B,MODU,140,Fyke,D1
4/18/2018,0 days 12:47:00,3D6.00184CBA25,MODU,127,Fyke,D1
4/18/2018,0 days 12:49:00,3D6.00184CB9FC,LEME,102,Fyke,D1
4/18/2018,0 days 13:02:00,3D6.00184CBA1D,MICO,177,Fyke,D1
4/18/2018,0 days 12:52:00,3D6.00184CBA2D,MICO,205,Fyke,D1
4/18/2018,0 days 13:04:00,3D6.00184CBA4B,HYET,150,Fyke,D1
4/18/2018,0 days 13:06:00,3D6.00184CBA2A,HYET,155,Fyke,D1
4/18/2018,0 days 13:05:00,3D6.00184CBA30,HYET,159,Fyke,D1
4/18/2018,0 days 12:55:00,3D6.00184CBA08,MICO,218,Fyke,D1
4/18/2018,0 days 11:11:00,3D6.00184CBA4E,LEAU,99,Fyke,U1
4/18/2018,0 days 11:12:00,3D6.00184CBA2F,LEME,119,Fyke,U1
4/18/2018,0 days 13:10:00,3D6.00184CBA29,HYET,170,Fyke,D1
4/18/2018,0 days 13:08:00,3D6.00184CBA51,HYET,172,Fyke,D1
4/19/2018,0 days 13:34:00,3D6.00184CBA44,HYET,115,Fyke,D1
4/19/2018,0 days 13:22:00,3D6.00184CBA28,MODU,360,Fyke,D1
4/19/2018,0 days 13:24:00,3D6.00184CBA1B,MODU,350,Fyke,D1
4/19/2018,0 days 13:25:00,3D6.00184CBA1C,MODU,355,Fyke,D1
4/19/2018,0 days 13:26:00,3D6.00184CBA3A,MODU,295,Fyke,D1
4/19/2018,0 days 13:39:00,3D6.00184CBA00,CAOL,91,Fyke,D1
4/19/2018,0 days 13:38:00,3D6.00184CBA2C,CAOL,95,Fyke,D1
4/19/2018,0 days 13:39:00,3D6.00184CB9FB,CAOL,96,Fyke,D1
4/19/2018,0 days 13:39:00,3D6.00184CBA41,CAOL,98,Fyke,D1
4/19/2018,0 days 13:38:00,3D6.00184CB9FF,CAOL,99,Fyke,D1
4/19/2018,0 days 13:38:00,3D6.00184CBA3F,CAOL,99,Fyke,D1
4/19/2018,0 days 13:30:00,3D6.00184CBA09,MICO,198,Fyke,D1
4/19/2018,0 days 13:39:00,3D6.00184CBA3D,CAOL,103,Fyke,D1
4/19/2018,0 days 14:14:00,3D6.00184CBA12,MODU,330,Fyke,U1
4/19/2018,0 days 14:16:00,3D6.00184CBA37,MODU,332,Fyke,U1
4/19/2018,0 days 14:18:00,3D6.00184CBA31,MODU,354,Fyke,U1
4/19/2018,0 days 13:35:00,3D6.00184CBA50,HYET,161,Fyke,D1
4/19/2018,0 days 14:20:00,3D6.00184CBA42,LEAU,179,Fyke,U1
4/19/2018,0 days 14:22:00,3D6.00184CBA47,LEAU,195,Fyke,U1
4/19/2018,0 days 13:35:00,3D6.00184CBA13,HYET,171,Fyke,D1
4/19/2018,0 days 13:28:00,3D6.00184CBA20,MICO,278,Fyke,D1
4/20/2018,0 days 11:23:00,3D6.00184CBA40,MODU,325,Fyke,D1
4/20/2018,0 days 11:25:00,3D6.00184CBA16,MODU,340,Fyke,D1
4/20/2018,0 days 11:27:00,3D6.00184CBA57,MODU,325,Fyke,D1
4/20/2018,0 days 11:27:00,3D6.00184CBA46,HYET,129,Fyke,D1
5/8/2018,0 days 12:58:00,3D6.00184CB8A1,MICO,89,Fyke,D1
5/8/2018,0 days 13:08:00,3D6.00184CB873,HYET,118,Fyke,D1
5/8/2018,0 days 13:44:00,3D6.00184CB86C,CAOL,75,Fyke,D1
5/8/2018,0 days 13:45:00,3D6.00184CB896,CAOL,80,Fyke,D1
5/8/2018,0 days 13:12:00,3D6.00184CB872,LEAU,70,Fyke,D1
5/8/2018,0 days 13:02:00,3D6.00184CB8A9,LEAU,105,Fyke,D1
5/8/2018,0 days 13:02:00,3D6.00184CB875,LEAU,125,Fyke,D1
5/8/2018,0 days 13:22:00,3D6.00184CB893,CAOL,82,Fyke,D1
5/8/2018,0 days 13:40:00,3D6.00184CB8BD,CAOL,83,Fyke,D1
5/8/2018,0 days 13:45:00,3D6.00184CB86E,CAOL,84,Fyke,D1
5/8/2018,0 days 12:12:00,3D6.00184CBA15,CAOL,89,Fyke,U1
5/8/2018,0 days 13:36:00,3D6.00184CB874,CAOL,87,Fyke,D1
5/8/2018,0 days 13:37:00,3D6.00184CB898,CAOL,87,Fyke,D1
5/8/2018,0 days 12:21:00,3D6.00184CB89A,CAOL,95,Fyke,U1
5/8/2018,0 days 13:35:00,3D6.00184CB8B3,CAOL,90,Fyke,D1
5/8/2018,0 days 13:41:00,3D6.00184CB88C,CAOL,90,Fyke,D1
5/8/2018,0 days 12:59:00,3D6.00184CB8C1,MICO,195,Fyke,D1
5/8/2018,0 days 12:19:00,3D6.00184CB884,CAOL,100,Fyke,U1
5/8/2018,0 days 13:40:00,3D6.00184CB88D,CAOL,98,Fyke,D1
5/8/2018,0 days 13:31:00,3D6.00184CB89C,CAOL,99,Fyke,D1
5/8/2018,0 days 12:18:00,3D6.00184CB897,CAOL,109,Fyke,U1
5/8/2018,0 days 13:21:00,3D6.00184CB87E,CAOL,105,Fyke,D1
5/8/2018,0 days 13:25:00,3D6.00184CB89E,CAOL,109,Fyke,D1
5/8/2018,0 days 13:36:00,3D6.00184CB887,CAOL,110,Fyke,D1
5/8/2018,0 days 13:41:00,3D6.00184CB8B6,CAOL,110,Fyke,D1
5/8/2018,0 days 13:32:00,3D6.00184CB86A,CAOL,112,Fyke,D1
5/8/2018,0 days 12:14:00,3D6.00184CB89F,CAOL,119,Fyke,U1
5/8/2018,0 days 13:30:00,3D6.00184CB885,CAOL,115,Fyke,D1
5/8/2018,0 days 12:17:00,3D6.00184CB89D,CAOL,125,Fyke,U1
5/8/2018,0 days 13:26:00,3D6.00184CB89B,CAOL,124,Fyke,D1
5/8/2018,0 days 12:13:00,3D6.00184CBA01,CAOL,131,Fyke,U1
5/8/2018,0 days 12:13:00,3D6.00184CBA22,CAOL,138,Fyke,U1
5/8/2018,0 days 13:08:00,3D6.00184CB878,HYET,168,Fyke,D1
5/9/2018,0 days 16:46:00,3D6.00184CB88E,HYET,110,Fyke,D1
5/9/2018,0 days 16:44:00,3D6.00184CB8AA,MICO,150,Fyke,D1
5/9/2018,0 days 16:10:00,3D6.00184CB895,CAOL,70,Fyke,U1
5/9/2018,0 days 16:59:00,3D6.00184CB86F,CAOL,77,Fyke,D1
5/9/2018,0 days 17:04:00,3D6.00184CB882,CAOL,80,Fyke,D1
5/9/2018,0 days 17:02:00,3D6.00184CB8A6,CAOL,90,Fyke,D1
5/9/2018,0 days 17:02:00,3D6.00184CB88F,CAOL,90,Fyke,D1
5/9/2018,0 days 16:49:00,3D6.00184CB87A,MODU,135,Fyke,D1
5/9/2018,0 days 16:49:00,3D6.00184CB8A2,LEME,105,Fyke,D1
5/9/2018,0 days 16:58:00,3D6.00184CB8A5,CAOL,95,Fyke,D1
5/9/2018,0 days 16:58:00,3D6.00184CB886,CAOL,95,Fyke,D1
5/9/2018,0 days 16:06:00,3D6.00184CB8A8,CAOL,105,Fyke,U1
5/9/2018,0 days 17:00:00,3D6.00184CB8BE,CAOL,98,Fyke,D1
5/9/2018,0 days 17:03:00,3D6.00184CB8AE,CAOL,98,Fyke,D1
5/9/2018,0 days 16:54:00,3D6.00184CB879,CAOL,99,Fyke,D1
5/9/2018,0 days 16:55:00,3D6.00184CB8A0,CAOL,99,Fyke,D1
5/9/2018,0 days 16:58:00,3D6.00184CB8C2,CAOL,105,Fyke,D1
5/9/2018,0 days 16:59:00,3D6.00184CB8C6,CAOL,108,Fyke,D1
5/9/2018,0 days 17:01:00,3D6.00184CB8B1,CAOL,111,Fyke,D1
5/9/2018,0 days 16:02:00,3D6.00184CB899,MODU,280,Fyke,U1
5/9/2018,0 days 16:56:00,3D6.00184CB8B8,CAOL,119,Fyke,D1
5/9/2018,0 days 16:05:00,3D6.00184CB866,CAOL,125,Fyke,U1
5/9/2018,0 days 16:05:00,3D6.00184CB888,CAOL,130,Fyke,U1
5/9/2018,0 days 16:55:00,3D6.00184CB8A7,CAOL,127,Fyke,D1
5/9/2018,0 days 16:55:00,3D6.00184CB8AD,CAOL,130,Fyke,D1
5/10/2018,0 days 11:15:00,3D6.00184CB8B2,CAOL,75,Fyke,U1
5/10/2018,0 days 10:28:00,3D6.00184CB86D,CAOL,92,Fyke,D1
5/10/2018,0 days 10:35:00,3D6.00184CB8B5,CAOL,95,Fyke,D1
5/10/2018,0 days 10:35:00,3D6.00184CB8A3,CAOL,96,Fyke,D1
5/10/2018,0 days 10:36:00,3D6.00184CB8C5,CAOL,96,Fyke,D1
5/10/2018,0 days 10:36:00,3D6.00184CB871,CAOL,105,Fyke,D1
5/10/2018,0 days 10:28:00,3D6.00184CB8B9,CAOL,107,Fyke,D1
5/10/2018,0 days 10:40:00,3D6.00184CB8BB,MICO,266,Fyke,D1
5/10/2018,0 days 10:27:00,3D6.00184CB868,CAOL,146,Fyke,D1
5/11/2018,0 days 11:45:00,3D6.00184CB87C,HYET,115,Fyke,D1
5/11/2018,0 days 11:44:00,3D6.00184CB8AF,MICO,108,Fyke,D1
5/11/2018,0 days 12:00:00,3D6.00184CB892,CAOL,71,Fyke,D1
5/11/2018,0 days 11:58:00,3D6.00184CB8BC,CAOL,85,Fyke,D1
5/11/2018,0 days 12:00:00,3D6.00184CB977,CAOL,91,Fyke,D1
5/11/2018,0 days 12:01:00,3D6.00184CB97E,CAOL,91,Fyke,D1
5/11/2018,0 days 11:57:00,3D6.00184CB8AB,CAOL,92,Fyke,D1
5/11/2018,0 days 11:53:00,3D6.00184CB880,CAOL,95,Fyke,D1
5/11/2018,0 days 11:54:00,3D6.00184CB869,CAOL,96,Fyke,D1
5/11/2018,0 days 10:50:00,3D6.00184CB891,CAOL,112,Fyke,U1
5/11/2018,0 days 11:58:00,3D6.00184CB881,CAOL,105,Fyke,D1
5/11/2018,0 days 11:59:00,3D6.00184CB88A,CAOL,105,Fyke,D1
5/11/2018,0 days 10:49:00,3D6.00184CB8BF,CAOL,116,Fyke,U1
5/11/2018,0 days 11:59:00,3D6.00184CB8C4,CAOL,106,Fyke,D1
5/11/2018,0 days 11:54:00,3D6.00184CB8C0,CAOL,111,Fyke,D1
5/11/2018,0 days 11:55:00,3D6.00184CB8B4,CAOL,115,Fyke,D1
5/11/2018,0 days 11:53:00,3D6.00184CB8B7,CAOL,116,Fyke,D1
5/11/2018,0 days 11:56:00,3D6.00184CB8B0,CAOL,120,Fyke,D1
5/11/2018,0 days 10:48:00,3D6.00184CB867,CAOL,126,Fyke,U1
5/11/2018,0 days 11:56:00,3D6.00184CB8A4,CAOL,130,Fyke,D1
5/11/2018,0 days 10:48:00,3D6.00184CB890,CAOL,156,Fyke,U1
5/22/2018,0 days 09:45:00,3D6.1D592D606B,MICO,185,Fyke,U2
5/22/2018,0 days 09:01:00,3D6.1D592D6067,LEAU,65,Fyke,U1
5/22/2018,0 days 08:59:00,3D6.1D592D602F,CAOL,125,Fyke,U1
5/22/2018,0 days 08:54:00,3D6.1D592D6061,MODU,365,Fyke,U1
5/22/2018,0 days 08:57:00,3D6.1D592D6042,MODU,241,Fyke,U1
5/22/2018,0 days 09:02:00,3D6.1D592D6055,LEAU,71,Fyke,U1
5/22/2018,0 days 08:59:00,3D6.1D592D6085,CAOL,129,Fyke,U1
5/22/2018,0 days 09:07:00,3D6.1D592D6035,LEAU,92,Fyke,U1
5/22/2018,0 days 09:02:00,3D6.1D592D602D,LEAU,115,Fyke,U1
5/22/2018,0 days 09:03:00,3D6.1D592D6083,LEAU,146,Fyke,U1
5/22/2018,0 days 09:53:00,3D6.1D592D6086,LEAU,60,Fyke,U2
5/22/2018,0 days 09:54:00,3D6.1D592D607B,LEAU,61,Fyke,U2
5/22/2018,0 days 09:54:00,3D6.1D592D6078,LEAU,70,Fyke,U2
5/22/2018,0 days 09:49:00,3D6.1D592D606F,LEAU,115,Fyke,U2
5/22/2018,0 days 09:48:00,3D6.1D592D6064,LEAU,122,Fyke,U2
5/22/2018,0 days 09:49:00,3D6.1D592D605F,LEAU,123,Fyke,U2
5/22/2018,0 days 09:46:00,3D6.1D592D6073,LEAU,125,Fyke,U2
5/22/2018,0 days 09:48:00,3D6.1D592D607D,LEAU,135,Fyke,U2
5/22/2018,0 days 09:53:00,3D6.1D592D6034,LEME,67,Fyke,U2
5/22/2018,0 days 09:50:00,3D6.1D592D6077,LEAU,156,Fyke,U2
5/22/2018,0 days 09:45:00,3D6.1D592D605B,LEAU,170,Fyke,U2
5/22/2018,0 days 09:43:00,3D6.1D592D606A,HYET,145,Fyke,U2
5/22/2018,0 days 09:44:00,3D6.1D592D605C,HYET,165,Fyke,U2
5/23/2018,0 days 09:45:00,3D6.1D592D6053,LEAU,94,Fyke,U1
5/23/2018,0 days 09:44:00,3D6.1D592D6089,LEAU,99,Fyke,U1
5/23/2018,0 days 09:46:00,3D6.1D592D6065,LEAU,120,Fyke,U1
5/23/2018,0 days 09:42:00,3D6.1D592D6030,LEME,118,Fyke,U1
5/23/2018,0 days 09:45:00,3D6.1D592D603E,LEAU,143,Fyke,U1
5/23/2018,0 days 09:39:00,3D6.1D592D6088,MICO,231,Fyke,U1
5/23/2018,0 days 09:42:00,3D6.1D592D608B,CAOL,134,Fyke,U1
5/23/2018,0 days 09:41:00,3D6.1D592D6087,CAOL,137,Fyke,U1
5/23/2018,0 days 09:45:00,3D6.1D592D6060,LEAU,159,Fyke,U1
5/23/2018,0 days 09:43:00,3D6.1D592D6032,HYET,120,Fyke,U1
5/23/2018,0 days 10:20:00,3D6.1D592D6072,HYET,168,Fyke,U1
5/23/2018,0 days 10:23:00,3D6.1D592D6069,CAOL,96,Fyke,U2
5/23/2018,0 days 10:23:00,3D6.1D592D6050,CAOL,112,Fyke,U2
5/23/2018,0 days 10:19:00,3D6.1D592D608D,HYET,128,Fyke,U2
5/23/2018,0 days 10:20:00,3D6.1D592D6063,HYET,160,Fyke,U2
5/25/2018,0 days 10:07:00,3D6.1D592D606C,CAOL,118,Fyke,U1
5/25/2018,0 days 10:16:00,3D6.1D592D6041,LEME,63,Fyke,U1
5/25/2018,0 days 10:11:00,3D6.1D592D6074,LEAU,63,Fyke,U1
5/25/2018,0 days 10:11:00,3D6.1D592D603B,LEAU,76,Fyke,U1
5/25/2018,0 days 10:10:00,3D6.1D592D6062,LEAU,134,Fyke,U1
5/25/2018,0 days 10:11:00,3D6.1D592D604E,LEAU,136,Fyke,U1
5/25/2018,0 days 10:20:00,3D6.1D592D6052,LEME,66,Fyke,U1
5/25/2018,0 days 10:17:00,3D6.1D592D604F,LEME,99,Fyke,U1
