Table 1
Date ,Time,Tag ID,Species,Length,Capture Method ,Marked At,
7/14/17,11:00 AM,3D6.00184CE0C9,HYET,98,Fyke ,D1.0,
7/14/17,10:04 AM,3D6.00184CE0BF,CAOL,141,Fyke ,D1.0,
7/14/17,10:04 AM,3D6.00184CE0F1,MODU,141,Fyke ,D1.0,
7/14/17,10:05 AM,3D6.00184CE0CA,CAOL,94,Fyke ,D1.0,
7/14/17,10:05 AM,3D6.00184CE0F4,MICO,158,Fyke ,D1.0,
7/14/17,10:07 AM,3D6.00184CE0E1,MODU,130,Fyke ,D1.0,
7/14/17,10:07 AM,3D6.00184CE0E4,MODU,127,Fyke ,D1.0,
7/14/17,10:07 AM,3D6.00184CE105,MODU,240,Fyke ,D1.0,
7/14/17,10:08 AM,3D6.00184CE0C5,MODU,260,Fyke ,D1.0,
7/14/17,10:10 AM,3D6.00184CE0BE,LEAU,88,Fyke ,D1.0,
7/14/17,10:11 AM,3D6.00184CE0E6,MODU,119,Fyke ,D1.0,
7/14/17,10:11 AM,3D6.00184CE0BB,MODU,137,Fyke ,D1.0,
7/14/17,10:11 AM,3D6.00184CE0B0,MODU,118,Fyke ,D1.0,
7/14/17,10:11 AM,3D6.00184CE0E8,MODU,121,Fyke ,D1.0,
7/14/17,10:11 AM,3D6.00184CE0CB,CAOL,97,Fyke ,D1.0,
7/14/17,10:12 AM,3D6.00184CE0AA,CAOL,136,Fyke ,D1.0,
7/14/17,10:13 AM,3D6.00184CE0C1,MODU,137,Fyke ,D1.0,
7/14/17,10:14 AM,3D6.00184CE0BC,CAOL,128,Fyke ,D1.0,
7/14/17,10:14 AM,3D6.00184CE0AB,MODU,126,Fyke ,D1.0,
7/14/17,10:14 AM,3D6.00184CE0BA,MODU,137,Fyke ,D1.0,
7/14/17,10:14 AM,3D6.00184CE0C8,MODU,126,Fyke ,D1.0,
7/14/17,10:14 AM,3D6.00184CE0C7,MODU,133,Fyke ,D1.0,
7/14/17,10:14 AM,3D6.00184CE0D1,MODU,114,Fyke ,D1.0,
7/14/17,10:16 AM,3D6.00184CE0C4,LEAU,72,Fyke ,D1.0,
7/14/17,10:16 AM,3D6.00184CE0A5,MODU,131,Fyke ,D1.0,
7/14/17,10:16 AM,3D6.00184CE0EB,MODU,124,Fyke ,D1.0,
7/14/17,10:16 AM,3D6.00184CE0B1,MODU,122,Fyke ,D1.0,
7/14/17,10:24 AM,3D6.00184CE0B4,CAOL,118,Fyke ,D1.0,
7/14/17,10:25 AM,3D6.00184CE0E7,CAOL,72,Fyke ,D1.0,
7/14/17,10:32 AM,3D6.00184CE0B3,CAOL,76,Fyke ,D1.0,
7/14/17,10:34 AM,3D6.00184CE0B9,MODU,124,Fyke ,D1.0,
7/14/17,10:34 AM,3D6.00184CE0D9,CAOL,90,Fyke ,D1.0,
7/14/17,10:37 AM,3D6.00184CE0F9,LEAU,70,Fyke ,D1.0,
7/14/17,10:37 AM,3D6.00184CE0EA,LEAU,100,Fyke ,D1.0,
7/14/17,10:39 AM,3D6.00184CE0AD,CAOL,90,Fyke ,D1.0,
7/14/17,10:39 AM,3D6.00184CE0B5,CAOL,86,Fyke ,D1.0,
7/14/17,10:40 AM,3D6.00184CE100,CAOL,100,Fyke ,D1.0,
7/14/17,10:57 AM,3D6.00184CE0AE,LEAU,100,Fyke ,D1.0,
7/14/17,10:58 AM,3D6.00184CE0F2,LEME,88,Fyke ,D1.0,
7/14/17,10:58 AM,3D6.00184CE0D5,LEAU,101,Fyke ,D1.0,
7/14/17,10:58 AM,3D6.00184CE0A8,MICO,190,Fyke ,D1.0,
7/14/17,10:58 AM,3D6.00184CE0DD,MICO,236,Fyke ,D1.0,
7/14/17,10:59 AM,3D6.00184CE0D6,MODU,260,Fyke ,D1.0,
7/14/17,10:59 AM,3D6.00184CE0D8,MODU,211,Fyke ,D1.0,
7/14/17,10:59 AM,3D6.00184CE0B6,MODU,131,Fyke ,D1.0,
7/14/17,10:59 AM,3D6.00184CE0F3,MODU,120,Fyke ,D1.0,
7/14/17,11:00 AM,3D6.00184CE0EF,LEAU,95,Fyke ,D1.0,
9/24/17,1:04 PM,3D6.00184CBA55,HYET,104,Fyke ,D1.0,
9/23/17,9:36 AM,3D6.00184CE0EE,HYET,108,Fyke ,D1.0,
5/9/18,4:46 PM,3D6.00184CB88E,HYET,110,Fyke ,D1.0,
7/14/17,11:01 AM,3D6.00184CE0FF,MODU,124,Fyke ,D1.0,
7/14/17,11:01 AM,3D6.00184CE0C2,MICO,152,Fyke ,D1.0,
7/14/17,11:01 AM,3D6.00184CE0D4,MICO,140,Fyke ,D1.0,
7/14/17,11:02 AM,3D6.00184CE0C6,MICO,92,Fyke ,D1.0,
7/14/17,11:02 AM,3D6.00184CE0D0,MODU,138,Fyke ,D1.0,
5/11/18,11:45 AM,3D6.00184CB87C,HYET,115,Fyke ,D1.0,
7/14/17,11:02 AM,3D6.00184CE0F8,CAOL,100,Fyke ,D1.0,
7/14/17,11:02 AM,3D6.00184CE0FE,LEAU,77,Fyke ,D1.0,
7/14/17,11:03 AM,3D6.00184CE101,LEAU,82,Fyke ,D1.0,
7/14/17,11:04 AM,3D6.00184CE103,MODU,111,Fyke ,D1.0,
7/14/17,11:04 AM,3D6.00184CE0F7,MODU,125,Fyke ,D1.0,
7/14/17,11:04 AM,3D6.00184CE0DF,MODU,125,Fyke ,D1.0,
7/14/17,11:04 AM,3D6.00184CE0EC,MODU,127,Fyke ,D1.0,
7/14/17,11:04 AM,3D6.00184CE0FB,MODU,118,Fyke ,D1.0,
7/14/17,11:07 AM,3D6.00184CE104,CAOL,137,Fyke ,D1.0,
7/14/17,11:07 AM,3D6.00184CE0C0,MODU,117,Fyke ,D1.0,
7/14/17,11:08 AM,3D6.00184CE0D2,MODU,106,Fyke ,D1.0,
7/14/17,11:09 AM,3D6.00184CE0CC,LEAU,79,Fyke ,D1.0,
7/15/17,11:20 AM,3D6.00184CBB18,LEME,111,Fyke ,D1.0,
7/15/17,11:21 AM,3D6.00184CBAF9,CAOL,100,Fyke ,D1.0,
7/15/17,11:21 AM,3D6.00184CBAEC,CAOL,127,Fyke ,D1.0,
7/15/17,11:22 AM,3D6.00184CBB01,MODU,209,Fyke ,D1.0,
7/15/17,11:24 AM,3D6.00184CBAD3,CAOL,111,Fyke ,D1.0,
7/15/17,11:25 AM,3D6.00184CBAC7,LEME,106,Fyke ,D1.0,
7/15/17,11:25 AM,3D6.00184CBAEA,MODU,152,Fyke ,D1.0,
7/15/17,11:26 AM,3D6.00184CBB03,CAOL,119,Fyke ,D1.0,
7/15/17,11:27 AM,3D6.00184CBACB,CAOL,70,Fyke ,D1.0,
7/15/17,11:28 AM,3D6.00184CBB20,CAOL,90,Fyke ,D1.0,
7/15/17,11:31 AM,3D6.00184CBAFA,CAOL,105,Fyke ,D1.0,
7/15/17,11:33 AM,3D6.00184CBAEE,CAOL,109,Fyke ,D1.0,
7/15/17,11:43 AM,3D6.00184CBAD0,CAOL,98,Fyke ,D1.0,
7/15/17,11:43 AM,3D6.00184CBAF4,CAOL,83,Fyke ,D1.0,
7/15/17,11:44 AM,3D6.00184CBB19,CAOL,95,Fyke ,D1.0,
7/15/17,11:44 AM,3D6.00184CBAF3,CAOL,150,Fyke ,D1.0,
7/15/17,11:45 AM,3D6.00184CBB0F,CAOL,94,Fyke ,D1.0,
7/15/17,11:45 AM,3D6.00184CBACF,CAOL,80,Fyke ,D1.0,
7/15/17,11:45 AM,3D6.00184CBAD1,CAOL,72,Fyke ,D1.0,
7/15/17,11:46 AM,3D6.00184CBAD4,CAOL,68,Fyke ,D1.0,
7/15/17,11:49 AM,3D6.00184CBACC,CAOL,102,Fyke ,D1.0,
7/15/17,11:49 AM,3D6.00184CBAF7,CAOL,104,Fyke ,D1.0,
7/15/17,11:49 AM,3D6.00184CBAF0,CAOL,88,Fyke ,D1.0,
7/15/17,11:50 AM,3D6.00184CBB0D,CAOL,71,Fyke ,D1.0,
7/15/17,11:53 AM,3D6.00184CBAFF,CAOL,89,Fyke ,D1.0,
7/16/17,11:50 AM,3D6.00184CBAFB,MICO,268,Fyke ,D1.0,
7/16/17,11:55 AM,3D6.00184CBACE,LEAU,123,Fyke ,D1.0,
7/16/17,11:57 AM,3D6.00184CBAC6,LEAU,90,Fyke ,D1.0,
7/16/17,11:57 AM,3D6.00184CBAF5,LEAU,105,Fyke ,D1.0,
7/16/17,12:00 PM,3D6.00184CBADA,CAOL,88,Fyke ,D1.0,
9/23/17,9:01 AM,3D6.00184CBB11,MICO,220,Fyke ,D1.0,
9/23/17,9:11 AM,3D6.00184CBB13,LEAU,104,Fyke ,D1.0,
9/23/17,9:14 AM,3D6.00184CBB04,LEAU,165,Fyke ,D1.0,
9/23/17,9:14 AM,3D6.00184CBAC0,LEAU,139,Fyke ,D1.0,
9/23/17,9:15 AM,3D6.00184CBAF6,LEAU,153,Fyke ,D1.0,
9/23/17,9:19 AM,3D6.00184CBAFC,LEAU,93,Fyke ,D1.0,
9/23/17,9:19 AM,3D6.00184CBB1F,LEAU,92,Fyke ,D1.0,
9/23/17,9:20 AM,3D6.00184CBAF1,LEAU,143,Fyke ,D1.0,
9/23/17,9:20 AM,3D6.00184CBB07,LEAU,125,Fyke ,D1.0,
9/23/17,9:22 AM,3D6.00184CBB08,LEAU,125,Fyke ,D1.0,
9/23/17,9:23 AM,3D6.00184CBAD2,LEAU,85,Fyke ,D1.0,
9/23/17,9:23 AM,3D6.00184CBB10,LEME,112,Fyke ,D1.0,
9/23/17,9:23 AM,3D6.00184CBB12,LEAU,112,Fyke ,D1.0,
9/23/17,9:24 AM,3D6.00184CBAE7,LEAU,111,Fyke ,D1.0,
9/23/17,9:27 AM,3D6.00184CBAFD,MICO,187,Fyke ,D1.0,
9/23/17,9:27 AM,3D6.00184CBB1A,MICO,111,Fyke ,D1.0,
9/23/17,9:29 AM,3D6.00184CBABE,MODU,140,Fyke ,D1.0,
9/23/17,9:32 AM,3D6.00184CBADD,MODU,138,Fyke ,D1.0,
